FREQ,REF_AREA,COMP_METHOD,UNIT_MEASURE,CURRENCY,TRANSFORMATION,TIME_PERIOD,OBS_VALUE
A,IN,B,XDC,INR,N,1935,2.39
A,IN,B,XDC,INR,N,1936,2.38
A,IN,B,XDC,INR,N,1937,2.6
A,IN,B,XDC,INR,N,1938,2.54
A,IN,B,XDC,INR,N,1939,2.72
A,IN,B,XDC,INR,N,1940,3.27
A,IN,B,XDC,INR,N,1941,3.93
A,IN,B,XDC,INR,N,1942,6.25
A,IN,B,XDC,INR,N,1943,9.22
A,IN,B,XDC,INR,N,1944,12.87
A,IN,B,XDC,INR,N,1945,18.13
A,IN,B,XDC,INR,N,1946,18.46
A,IN,B,XDC,INR,N,1947,18.18
A,IN,B,XDC,INR,N,1948,15.91
A,IN,B,XDC,INR,N,1949,14.41
A,IN,B,XDC,INR,N,1950,14.8
A,IN,B,XDC,INR,N,1951,15.19
A,IN,B,XDC,INR,N,1952,14.23
A,IN,B,XDC,INR,N,1953,13.93
A,IN,B,XDC,INR,N,1954,14.31
A,IN,B,XDC,INR,N,1955,15.41
A,IN,B,XDC,INR,N,1956,17.52
A,IN,B,XDC,INR,N,1957,19.22
A,IN,B,XDC,INR,N,1958,20.23
A,IN,B,XDC,INR,N,1959,21.7
A,IN,B,XDC,INR,N,1960,23.25
A,IN,B,XDC,INR,N,1961,25.07
A,IN,B,XDC,INR,N,1962,26.86
A,IN,B,XDC,INR,N,1963,29.18
A,IN,B,XDC,INR,N,1964,31.16
A,IN,B,XDC,INR,N,1965,34.35
A,IN,B,XDC,INR,N,1966,37.3
A,IN,B,XDC,INR,N,1967,40.24
A,IN,B,XDC,INR,N,1968,42.46
A,IN,B,XDC,INR,N,1969,48
A,IN,B,XDC,INR,N,1970,51.84
A,IN,B,XDC,INR,N,1971,59.06
A,IN,B,XDC,INR,N,1972,63.14
A,IN,B,XDC,INR,N,1973,77.58
A,IN,B,XDC,INR,N,1974,88.23
A,IN,B,XDC,INR,N,1975,103.44
A,IN,B,XDC,INR,N,1976,122.02
A,IN,B,XDC,INR,N,1977,142.73
A,IN,B,XDC,INR,N,1978,164.46
A,IN,B,XDC,INR,N,1979,195.25
A,IN,B,XDC,INR,N,1980,229.99
A,IN,B,XDC,INR,N,1981,265.18
A,IN,B,XDC,INR,N,1982,319.26
A,IN,B,XDC,INR,N,1983,391.58
A,IN,B,XDC,INR,N,1984,470.49
A,IN,B,XDC,INR,N,1985,529.26
A,IN,B,XDC,INR,N,1986,603.6
A,IN,B,XDC,INR,N,1987,681.82
A,IN,B,XDC,INR,N,1988,774.1
A,IN,B,XDC,INR,N,1989,890.21
A,IN,B,XDC,INR,N,1990,1073.97
A,IN,B,XDC,INR,N,1991,1274.87
A,IN,B,XDC,INR,N,1992,1346.91
A,IN,B,XDC,INR,N,1993,1650.34
A,IN,B,XDC,INR,N,1994,1897.38
A,IN,B,XDC,INR,N,1995,2175.28
A,IN,B,XDC,INR,N,1996,2278.39
A,IN,B,XDC,INR,N,1997,2507.21
A,IN,B,XDC,INR,N,1998,3039.76
A,IN,B,XDC,INR,N,1999,3319.66
A,IN,B,XDC,INR,N,2000,3664.86
A,IN,B,XDC,INR,N,2001,4097.47
A,IN,B,XDC,INR,N,2002,4627.8
A,IN,B,XDC,INR,N,2003,5219.45
A,IN,B,XDC,INR,N,2004,6600.74
A,IN,B,XDC,INR,N,2005,7314.88
A,IN,B,XDC,INR,N,2006,9007.12
A,IN,B,XDC,INR,N,2007,11954.07
A,IN,B,XDC,INR,N,2008,13322.66
A,IN,B,XDC,INR,N,2009,14889.53
A,IN,B,XDC,INR,N,2010,16717.87
A,IN,B,XDC,INR,N,2011,20093.97
A,IN,B,XDC,INR,N,2012,22593.04
A,IN,B,XDC,INR,N,2013,25548.86
A,IN,B,XDC,INR,N,2014,26470.64
A,IN,B,XDC,INR,N,2015,30733.78
A,IN,B,XDC,INR,N,2016,32556.83
A,IN,B,XDC,INR,N,2017,33796.37
A,IN,B,XDC,INR,N,2018,37602.88
A,IN,B,XDC,INR,N,2019,43022.57
A,IN,B,XDC,INR,N,2020,56885.18
A,IN,B,XDC,INR,N,2021,62642.48
A,IN,B,XDC,INR,N,2022,61486.66
A,IN,B,XDC,INR,N,2023,67935.59
A,IN,B,XDC,INR,N,2024,69627.59
A,IN,B,XDC,INR,N,2025,82835.3426
Q,IN,B,XDC,INR,B,1945-Q4,18.13
Q,IN,B,XDC,INR,B,1946-Q1,19.07
Q,IN,B,XDC,INR,B,1946-Q2,18.88
Q,IN,B,XDC,INR,B,1946-Q3,18.88
Q,IN,B,XDC,INR,B,1946-Q4,18.46
Q,IN,B,XDC,INR,B,1947-Q1,18.41
Q,IN,B,XDC,INR,B,1947-Q2,18.3
Q,IN,B,XDC,INR,B,1947-Q3,18.39
Q,IN,B,XDC,INR,B,1947-Q4,18.18
Q,IN,B,XDC,INR,B,1948-Q1,17.98
Q,IN,B,XDC,INR,B,1948-Q2,17.99
Q,IN,B,XDC,INR,B,1948-Q3,16.65
Q,IN,B,XDC,INR,B,1948-Q4,15.91
Q,IN,B,XDC,INR,B,1949-Q1,15.47
Q,IN,B,XDC,INR,B,1949-Q2,15.13
Q,IN,B,XDC,INR,B,1949-Q3,14.32
Q,IN,B,XDC,INR,B,1949-Q4,14.41
Q,IN,B,XDC,INR,B,1950-Q1,15
Q,IN,B,XDC,INR,B,1950-Q2,15
Q,IN,B,XDC,INR,B,1950-Q3,14.63
Q,IN,B,XDC,INR,B,1950-Q4,14.8
Q,IN,B,XDC,INR,B,1951-Q1,15.9
Q,IN,B,XDC,INR,B,1951-Q2,16.36
Q,IN,B,XDC,INR,B,1951-Q3,15.33
Q,IN,B,XDC,INR,B,1951-Q4,15.19
Q,IN,B,XDC,INR,B,1952-Q1,15.27
Q,IN,B,XDC,INR,B,1952-Q2,14.48
Q,IN,B,XDC,INR,B,1952-Q3,14.11
Q,IN,B,XDC,INR,B,1952-Q4,14.23
Q,IN,B,XDC,INR,B,1953-Q1,14.51
Q,IN,B,XDC,INR,B,1953-Q2,14.7
Q,IN,B,XDC,INR,B,1953-Q3,13.99
Q,IN,B,XDC,INR,B,1953-Q4,13.93
Q,IN,B,XDC,INR,B,1954-Q1,14.44
Q,IN,B,XDC,INR,B,1954-Q2,14.87
Q,IN,B,XDC,INR,B,1954-Q3,14.5
Q,IN,B,XDC,INR,B,1954-Q4,14.31
Q,IN,B,XDC,INR,B,1955-Q1,14.93
Q,IN,B,XDC,INR,B,1955-Q2,15.34
Q,IN,B,XDC,INR,B,1955-Q3,14.97
Q,IN,B,XDC,INR,B,1955-Q4,15.41
Q,IN,B,XDC,INR,B,1956-Q1,16.78
Q,IN,B,XDC,INR,B,1956-Q2,17.16
Q,IN,B,XDC,INR,B,1956-Q3,16.6
Q,IN,B,XDC,INR,B,1956-Q4,17.52
Q,IN,B,XDC,INR,B,1957-Q1,18.82
Q,IN,B,XDC,INR,B,1957-Q2,20.01
Q,IN,B,XDC,INR,B,1957-Q3,19.2
Q,IN,B,XDC,INR,B,1957-Q4,19.22
Q,IN,B,XDC,INR,B,1958-Q1,20.35
Q,IN,B,XDC,INR,B,1958-Q2,20.6
