FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,CG_DTYPE,TIME_PERIOD,OBS_VALUE
Q,IN,P,A,C,1961-Q2,-1.5
Q,IN,P,A,C,1961-Q3,-2.1
Q,IN,P,A,C,1961-Q4,-1.7
Q,IN,P,A,C,1962-Q1,-0.6
Q,IN,P,A,C,1962-Q2,-0.3
Q,IN,P,A,C,1962-Q3,-1.1
Q,IN,P,A,C,1962-Q4,-1.1
Q,IN,P,A,C,1963-Q1,-1
Q,IN,P,A,C,1963-Q2,-1.1
Q,IN,P,A,C,1963-Q3,-1.9
Q,IN,P,A,C,1963-Q4,-1.9
Q,IN,P,A,C,1964-Q1,-2
Q,IN,P,A,C,1964-Q2,-2.2
Q,IN,P,A,C,1964-Q3,-2.9
Q,IN,P,A,C,1964-Q4,-2.8
Q,IN,P,A,C,1965-Q1,-2.3
Q,IN,P,A,C,1965-Q2,-1.6
Q,IN,P,A,C,1965-Q3,-1.8
Q,IN,P,A,C,1965-Q4,-1.2
Q,IN,P,A,C,1966-Q1,-0.8
Q,IN,P,A,C,1966-Q2,-0.6
Q,IN,P,A,C,1966-Q3,-1.5
Q,IN,P,A,C,1966-Q4,-1.4
Q,IN,P,A,C,1967-Q1,-1.4
Q,IN,P,A,C,1967-Q2,-2
Q,IN,P,A,C,1967-Q3,-2.8
Q,IN,P,A,C,1967-Q4,-2.4
Q,IN,P,A,C,1968-Q1,-1.9
Q,IN,P,A,C,1968-Q2,-1.4
Q,IN,P,A,C,1968-Q3,-1.6
Q,IN,P,A,C,1968-Q4,-1.2
Q,IN,P,A,C,1969-Q1,-0.3
Q,IN,P,A,C,1969-Q2,0.3
Q,IN,P,A,C,1969-Q3,-0.7
Q,IN,P,A,C,1969-Q4,-0.3
Q,IN,P,A,C,1970-Q1,0.3
Q,IN,P,A,C,1970-Q2,1.2
Q,IN,P,A,C,1970-Q3,1.1
Q,IN,P,A,C,1970-Q4,2
Q,IN,P,A,C,1971-Q1,3
Q,IN,P,A,C,1971-Q2,2.3
Q,IN,P,A,C,1971-Q3,2.1
Q,IN,P,A,C,1971-Q4,3.1
Q,IN,P,A,C,1972-Q1,3.3
Q,IN,P,A,C,1972-Q2,3.7
Q,IN,P,A,C,1972-Q3,2.4
Q,IN,P,A,C,1972-Q4,3.2
Q,IN,P,A,C,1973-Q1,4.2
Q,IN,P,A,C,1973-Q2,3.3
Q,IN,P,A,C,1973-Q3,1.7
Q,IN,P,A,C,1973-Q4,3.1
Q,IN,P,A,C,1974-Q1,2.8
Q,IN,P,A,C,1974-Q2,2.5
Q,IN,P,A,C,1974-Q3,1.1
Q,IN,P,A,C,1974-Q4,1.4
Q,IN,P,A,C,1975-Q1,2.8
Q,IN,P,A,C,1975-Q2,2.7
Q,IN,P,A,C,1975-Q3,2.8
Q,IN,P,A,C,1975-Q4,4.4
Q,IN,P,A,C,1976-Q1,6.3
Q,IN,P,A,C,1976-Q2,6.3
Q,IN,P,A,C,1976-Q3,6.6
Q,IN,P,A,C,1976-Q4,8.8
Q,IN,P,A,C,1977-Q1,8
Q,IN,P,A,C,1977-Q2,6.6
Q,IN,P,A,C,1977-Q3,5.8
Q,IN,P,A,C,1977-Q4,6.6
Q,IN,P,A,C,1978-Q1,5.9
Q,IN,P,A,C,1978-Q2,6.2
Q,IN,P,A,C,1978-Q3,5.7
Q,IN,P,A,C,1978-Q4,8.6
Q,IN,P,A,C,1979-Q1,7.8
Q,IN,P,A,C,1979-Q2,8.3
Q,IN,P,A,C,1979-Q3,8.3
Q,IN,P,A,C,1979-Q4,9.2
Q,IN,P,A,C,1980-Q1,8.5
Q,IN,P,A,C,1980-Q2,6.3
Q,IN,P,A,C,1980-Q3,4.3
Q,IN,P,A,C,1980-Q4,5.6
Q,IN,P,A,C,1981-Q1,5.8
Q,IN,P,A,C,1981-Q2,4.6
Q,IN,P,A,C,1981-Q3,3.4
Q,IN,P,A,C,1981-Q4,4.8
Q,IN,P,A,C,1982-Q1,4.4
Q,IN,P,A,C,1982-Q2,3.4
Q,IN,P,A,C,1982-Q3,2.7
