FREQ,REF_AREA,COVERED_AREA,RE_TYPE,RE_VINTAGE,COMPILING_ORG,PRICED_UNIT,ADJUST_CODED,TIME_PERIOD,OBS_VALUE
Q,IN,6,1,0,0,6,0,2022-Q2,97.98
Q,IN,6,1,0,0,6,0,2022-Q3,100.43
Q,IN,6,1,0,0,6,0,2022-Q4,101.42
Q,IN,6,1,0,0,6,0,2023-Q1,100.163
Q,IN,6,1,0,0,6,0,2023-Q2,101.626
Q,IN,6,1,0,0,6,0,2023-Q3,103.067
Q,IN,6,1,0,0,6,0,2023-Q4,104.417
Q,IN,6,1,0,0,6,0,2024-Q1,107.064
Q,IN,6,1,0,0,6,0,2024-Q2,109.37
Q,IN,6,1,0,0,6,0,2024-Q3,110.268
Q,IN,6,1,0,0,6,0,2024-Q4,111.597
Q,IN,6,1,0,0,6,0,2025-Q1,111.169
Q,IN,6,1,0,0,6,0,2025-Q2,113.355
Q,IN,6,1,0,0,6,0,2025-Q3,114.17
Q,IN,6,1,0,0,6,0,2025-Q4,115.59
Q,IN,4,1,0,0,6,0,2010-Q2,94.2
Q,IN,4,1,0,0,6,0,2010-Q3,99.8
Q,IN,4,1,0,0,6,0,2010-Q4,99.4
Q,IN,4,1,0,0,6,0,2011-Q1,106.6
Q,IN,4,1,0,0,6,0,2011-Q2,116
Q,IN,4,1,0,0,6,0,2011-Q3,119.4
Q,IN,4,1,0,0,6,0,2011-Q4,125.5
Q,IN,4,1,0,0,6,0,2012-Q1,134.1
Q,IN,4,1,0,0,6,0,2012-Q2,142.6
Q,IN,4,1,0,0,6,0,2012-Q3,147.1
Q,IN,4,1,0,0,6,0,2012-Q4,157
Q,IN,4,1,0,0,6,0,2013-Q1,160.8
Q,IN,4,1,0,0,6,0,2013-Q2,162.3
Q,IN,4,1,0,0,6,0,2013-Q3,169.2
Q,IN,4,1,0,0,6,0,2013-Q4,172.8
Q,IN,4,1,0,0,6,0,2014-Q1,180.5
Q,IN,4,1,0,0,6,0,2014-Q2,188
Q,IN,4,1,0,0,6,0,2014-Q3,193
Q,IN,4,1,0,0,6,0,2014-Q4,202
Q,IN,4,1,0,0,6,0,2015-Q1,212.1
Q,IN,4,1,0,0,6,0,2015-Q2,215.3
Q,IN,4,1,0,0,6,0,2015-Q3,218.2
Q,IN,4,1,0,0,6,0,2015-Q4,221.7
Q,IN,4,1,0,0,6,0,2016-Q1,219.1
Q,IN,4,1,0,0,6,0,2016-Q2,231.0855
Q,IN,4,1,0,0,6,0,2016-Q3,234.9
Q,IN,4,1,0,0,6,0,2016-Q4,240.2
Q,IN,4,1,0,0,6,0,2017-Q1,242.0028
Q,IN,4,1,0,0,6,0,2017-Q2,251.2
Q,IN,4,1,0,0,6,0,2017-Q3,252.4
Q,IN,4,1,0,0,6,0,2017-Q4,257.5
Q,IN,4,1,0,0,6,0,2018-Q1,258.23
Q,IN,4,1,0,0,6,0,2018-Q2,264.58
Q,IN,4,1,0,0,6,0,2018-Q3,266.74
Q,IN,4,1,0,0,6,0,2018-Q4,270.72
Q,IN,4,1,0,0,6,0,2019-Q1,267.6
Q,IN,4,1,0,0,6,0,2019-Q2,273.7
Q,IN,4,1,0,0,6,0,2019-Q3,275.41
Q,IN,4,1,0,0,6,0,2019-Q4,278.77
Q,IN,4,1,0,0,6,0,2020-Q1,278.08
Q,IN,4,1,0,0,6,0,2020-Q2,281.43
Q,IN,4,1,0,0,6,0,2020-Q3,278.45
Q,IN,4,1,0,0,6,0,2020-Q4,284.88
Q,IN,4,1,0,0,6,0,2021-Q1,285.47
Q,IN,4,1,0,0,6,0,2021-Q2,286.98
Q,IN,4,1,0,0,6,0,2021-Q3,285.08
Q,IN,4,1,0,0,6,0,2021-Q4,293.79
Q,IN,4,1,0,0,6,0,2022-Q1,290.6
Q,IN,4,1,0,0,6,0,2022-Q2,296.61
Q,IN,4,1,0,0,6,0,2022-Q3,298.03
Q,IN,4,1,0,0,6,0,2022-Q4,302.04
Q,IN,4,1,0,0,6,0,2023-Q1,303.91
Q,IN,4,1,0,0,6,0,2023-Q2,311.88
Q,IN,4,1,0,0,6,0,2023-Q3,308.6
Q,IN,4,1,0,0,6,0,2023-Q4,313.55
Q,IN,4,1,0,0,6,0,2024-Q1,316.33
Q,IN,4,1,0,0,6,0,2024-Q2,322.18
Q,IN,4,1,0,0,6,0,2024-Q3,322
Q,IN,4,1,0,0,6,0,2024-Q4,323.26
Q,IN,4,1,0,0,6,0,2025-Q1,326.23
Q,IN,5,1,0,0,6,0,2010-Q2,31.2741
Q,IN,5,1,0,0,6,0,2010-Q3,34.4108
Q,IN,5,1,0,0,6,0,2010-Q4,34.8111
Q,IN,5,1,0,0,6,0,2011-Q1,37.5372
Q,IN,5,1,0,0,6,0,2011-Q2,42.1301
Q,IN,5,1,0,0,6,0,2011-Q3,45.3497
Q,IN,5,1,0,0,6,0,2011-Q4,42.3717
Q,IN,5,1,0,0,6,0,2012-Q1,49.5182
Q,IN,5,1,0,0,6,0,2012-Q2,50.933
Q,IN,5,1,0,0,6,0,2012-Q3,51.0917
Q,IN,5,1,0,0,6,0,2012-Q4,54.8496
Q,IN,5,1,0,0,6,0,2013-Q1,55.0497
Q,IN,5,1,0,0,6,0,2013-Q2,55.205
Q,IN,5,1,0,0,6,0,2013-Q3,58.3832
Q,IN,5,1,0,0,6,0,2013-Q4,57.4549
Q,IN,5,1,0,0,6,0,2014-Q1,60.5433
Q,IN,5,1,0,0,6,0,2014-Q2,63.2211
Q,IN,5,1,0,0,6,0,2014-Q3,64.1597
Q,IN,5,1,0,0,6,0,2014-Q4,64.8809
Q,IN,5,1,0,0,6,0,2015-Q1,67.1964
Q,IN,5,1,0,0,6,0,2015-Q2,70.2054
Q,IN,5,1,0,0,6,0,2015-Q3,71.0508
Q,IN,5,1,0,0,6,0,2015-Q4,72.0964
Q,IN,5,1,0,0,6,0,2016-Q1,71.772
Q,IN,5,1,0,0,6,0,2016-Q2,75.6403
Q,IN,5,1,0,0,6,0,2016-Q3,78.1766
Q,IN,5,1,0,0,6,0,2016-Q4,81.372
Q,IN,5,1,0,0,6,0,2017-Q1,84.1568
Q,IN,5,1,0,0,6,0,2017-Q2,84.8918
Q,IN,5,1,0,0,6,0,2017-Q3,87.887
Q,IN,5,1,0,0,6,0,2017-Q4,88.8222
Q,IN,5,1,0,0,6,0,2018-Q1,88.7808
Q,IN,5,1,0,0,6,0,2018-Q2,91.179
Q,IN,5,1,0,0,6,0,2018-Q3,91.0824
Q,IN,5,1,0,0,6,0,2018-Q4,91.8036
Q,IN,5,1,0,0,6,0,2019-Q1,90.2163
Q,IN,5,1,0,0,6,0,2019-Q2,89.9092
Q,IN,5,1,0,0,6,0,2019-Q3,91.4447
Q,IN,5,1,0,0,6,0,2019-Q4,88.6013
Q,IN,5,1,0,0,6,0,2020-Q1,91.2446
Q,IN,5,1,0,0,6,0,2020-Q2,90.7511
Q,IN,5,1,0,0,6,0,2020-Q3,90.758
Q,IN,5,1,0,0,6,0,2020-Q4,90.1749
Q,IN,5,1,0,0,6,0,2021-Q1,91.9658
Q,IN,5,1,0,0,6,0,2021-Q2,91.7519
Q,IN,5,1,0,0,6,0,2021-Q3,96.5518
Q,IN,5,1,0,0,6,0,2021-Q4,98.6844
Q,IN,5,1,0,0,6,0,2022-Q1,97.0695
Q,IN,5,1,0,0,6,0,2022-Q2,98.12
Q,IN,5,1,0,0,6,0,2022-Q3,99.26
Q,IN,5,1,0,0,6,0,2022-Q4,101.92
