FREQ,BORROWERS_CTY,DSR_BORROWERS,TIME_PERIOD,OBS_VALUE
Q,IN,P,1999-Q1,9
Q,IN,P,1999-Q2,8.5
Q,IN,P,1999-Q3,8.6
Q,IN,P,1999-Q4,9
Q,IN,P,2000-Q1,9
Q,IN,P,2000-Q2,9.1
Q,IN,P,2000-Q3,9.2
Q,IN,P,2000-Q4,9.5
Q,IN,P,2001-Q1,9.6
Q,IN,P,2001-Q2,9.4
Q,IN,P,2001-Q3,9.2
Q,IN,P,2001-Q4,9.2
Q,IN,P,2002-Q1,9.3
Q,IN,P,2002-Q2,9.7
Q,IN,P,2002-Q3,9.4
Q,IN,P,2002-Q4,9.3
Q,IN,P,2003-Q1,9.3
Q,IN,P,2003-Q2,9
Q,IN,P,2003-Q3,8.6
Q,IN,P,2003-Q4,8.5
Q,IN,P,2004-Q1,8.7
Q,IN,P,2004-Q2,8.5
Q,IN,P,2004-Q3,8.4
Q,IN,P,2004-Q4,8.9
Q,IN,P,2005-Q1,9.2
Q,IN,P,2005-Q2,9.3
Q,IN,P,2005-Q3,9.9
Q,IN,P,2005-Q4,10.1
Q,IN,P,2006-Q1,11.2
Q,IN,P,2006-Q2,11.1
Q,IN,P,2006-Q3,11.7
Q,IN,P,2006-Q4,11.8
Q,IN,P,2007-Q1,13
Q,IN,P,2007-Q2,12.8
Q,IN,P,2007-Q3,13.2
Q,IN,P,2007-Q4,13.4
Q,IN,P,2008-Q1,14.4
Q,IN,P,2008-Q2,14.2
Q,IN,P,2008-Q3,14.9
Q,IN,P,2008-Q4,15.4
Q,IN,P,2009-Q1,15.7
Q,IN,P,2009-Q2,14.7
Q,IN,P,2009-Q3,14.3
Q,IN,P,2009-Q4,13.6
Q,IN,P,2010-Q1,13.7
Q,IN,P,2010-Q2,13.3
Q,IN,P,2010-Q3,13.3
Q,IN,P,2010-Q4,14.1
Q,IN,P,2011-Q1,14.5
Q,IN,P,2011-Q2,14.6
Q,IN,P,2011-Q3,14.7
Q,IN,P,2011-Q4,15.4
Q,IN,P,2012-Q1,15.7
Q,IN,P,2012-Q2,15.5
Q,IN,P,2012-Q3,15.8
Q,IN,P,2012-Q4,16
Q,IN,P,2013-Q1,15.6
Q,IN,P,2013-Q2,15.2
Q,IN,P,2013-Q3,15
Q,IN,P,2013-Q4,14.7
Q,IN,P,2014-Q1,14.8
Q,IN,P,2014-Q2,14.7
Q,IN,P,2014-Q3,14.8
Q,IN,P,2014-Q4,15
Q,IN,P,2015-Q1,14.7
Q,IN,P,2015-Q2,14.2
Q,IN,P,2015-Q3,14.2
Q,IN,P,2015-Q4,14
Q,IN,P,2016-Q1,13.3
Q,IN,P,2016-Q2,13
Q,IN,P,2016-Q3,12
Q,IN,P,2016-Q4,12
Q,IN,P,2017-Q1,11.9
Q,IN,P,2017-Q2,12.4
Q,IN,P,2017-Q3,12.6
Q,IN,P,2017-Q4,13.3
Q,IN,P,2018-Q1,12.8
Q,IN,P,2018-Q2,12.6
Q,IN,P,2018-Q3,12.4
Q,IN,P,2018-Q4,12.4
Q,IN,P,2019-Q1,12
Q,IN,P,2019-Q2,11.7
Q,IN,P,2019-Q3,11.5
Q,IN,P,2019-Q4,11.5
Q,IN,P,2020-Q1,11
Q,IN,P,2020-Q2,11.5
Q,IN,P,2020-Q3,11.6
Q,IN,P,2020-Q4,11.6
Q,IN,P,2021-Q1,11
Q,IN,P,2021-Q2,10.3
Q,IN,P,2021-Q3,10
Q,IN,P,2021-Q4,10.2
Q,IN,P,2022-Q1,10
Q,IN,P,2022-Q2,9.8
Q,IN,P,2022-Q3,10
Q,IN,P,2022-Q4,10.1
Q,IN,P,2023-Q1,10.4
Q,IN,P,2023-Q2,10.4
Q,IN,P,2023-Q3,10.8
Q,IN,P,2023-Q4,11
Q,IN,P,2024-Q1,11.2
Q,IN,P,2024-Q2,11.3
Q,IN,P,2024-Q3,11.4
Q,IN,P,2024-Q4,11.6
Q,IN,P,2025-Q1,11.7
Q,IN,P,2025-Q2,11.8
Q,IN,P,2025-Q3,11.7
