FREQ,EER_TYPE,EER_BASKET,REF_AREA,TIME_PERIOD,OBS_VALUE
D,N,B,IN,1996-04-11,182.35
D,N,B,IN,1996-04-12,182.6
D,N,B,IN,1996-04-13,NaN
D,N,B,IN,1996-04-14,NaN
D,N,B,IN,1996-04-15,181.67
D,N,B,IN,1996-04-16,182.09
D,N,B,IN,1996-04-17,182.89
D,N,B,IN,1996-04-18,182.53
D,N,B,IN,1996-04-19,182.19
D,N,B,IN,1996-04-20,NaN
D,N,B,IN,1996-04-21,NaN
D,N,B,IN,1996-04-22,183.01
D,N,B,IN,1996-04-23,182.55
D,N,B,IN,1996-04-24,182.94
D,N,B,IN,1996-04-25,182.69
D,N,B,IN,1996-04-26,182.83
D,N,B,IN,1996-04-27,NaN
D,N,B,IN,1996-04-28,NaN
D,N,B,IN,1996-04-29,182.37
D,N,B,IN,1996-04-30,178.96
D,N,B,IN,1996-05-01,180
D,N,B,IN,1996-05-02,180.91
D,N,B,IN,1996-05-03,180.93
D,N,B,IN,1996-05-04,NaN
D,N,B,IN,1996-05-05,NaN
D,N,B,IN,1996-05-06,180.89
D,N,B,IN,1996-05-07,181.92
D,N,B,IN,1996-05-08,180.59
D,N,B,IN,1996-05-09,177.54
D,N,B,IN,1996-05-10,176.73
D,N,B,IN,1996-05-11,NaN
D,N,B,IN,1996-05-12,NaN
D,N,B,IN,1996-05-13,177.17
D,N,B,IN,1996-05-14,179.32
D,N,B,IN,1996-05-15,180.06
D,N,B,IN,1996-05-16,179.56
D,N,B,IN,1996-05-17,178.99
D,N,B,IN,1996-05-18,NaN
D,N,B,IN,1996-05-19,NaN
D,N,B,IN,1996-05-20,179.28
D,N,B,IN,1996-05-21,178.93
D,N,B,IN,1996-05-22,179.79
D,N,B,IN,1996-05-23,179.6
D,N,B,IN,1996-05-24,179.02
D,N,B,IN,1996-05-25,NaN
D,N,B,IN,1996-05-26,NaN
D,N,B,IN,1996-05-27,179.03
D,N,B,IN,1996-05-28,179.71
D,N,B,IN,1996-05-29,179.29
D,N,B,IN,1996-05-30,178.16
D,N,B,IN,1996-05-31,178.58
D,N,B,IN,1996-06-01,NaN
D,N,B,IN,1996-06-02,NaN
D,N,B,IN,1996-06-03,178.72
D,N,B,IN,1996-06-04,179.02
D,N,B,IN,1996-06-05,179.44
D,N,B,IN,1996-06-06,179.59
D,N,B,IN,1996-06-07,179.57
D,N,B,IN,1996-06-08,NaN
D,N,B,IN,1996-06-09,NaN
D,N,B,IN,1996-06-10,180.13
D,N,B,IN,1996-06-11,179.83
D,N,B,IN,1996-06-12,179.89
D,N,B,IN,1996-06-13,179.64
D,N,B,IN,1996-06-14,178.99
D,N,B,IN,1996-06-15,NaN
D,N,B,IN,1996-06-16,NaN
D,N,B,IN,1996-06-17,178.85
D,N,B,IN,1996-06-18,178.31
D,N,B,IN,1996-06-19,178.78
D,N,B,IN,1996-06-20,179
D,N,B,IN,1996-06-21,179.57
