FREQ,CURR_DENOM,BORROWERS_CTY,BORROWERS_SECTOR,LENDERS_SECTOR,L_POS_TYPE,L_INSTR,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
Q,EUR,IN,N,A,I,B,EUR,2000-Q1,4167.311
Q,EUR,IN,N,A,I,B,EUR,2000-Q2,4003.909
Q,EUR,IN,N,A,I,B,EUR,2000-Q3,4066.168
Q,EUR,IN,N,A,I,B,EUR,2000-Q4,4048.395
Q,EUR,IN,N,A,I,B,EUR,2001-Q1,4049.879
Q,EUR,IN,N,A,I,B,EUR,2001-Q2,3983.338
Q,EUR,IN,N,A,I,B,EUR,2001-Q3,3940.53
Q,EUR,IN,N,A,I,B,EUR,2001-Q4,3892.021
Q,EUR,IN,N,A,I,B,EUR,2002-Q1,3906.59
Q,EUR,IN,N,A,I,B,EUR,2002-Q2,3824.538
Q,EUR,IN,N,A,I,B,EUR,2002-Q3,3667.347
Q,EUR,IN,N,A,I,B,EUR,2002-Q4,3674.221
Q,EUR,IN,N,A,I,B,EUR,2003-Q1,3633.048
Q,EUR,IN,N,A,I,B,EUR,2003-Q2,3569.533
Q,EUR,IN,N,A,I,B,EUR,2003-Q3,3531.493
Q,EUR,IN,N,A,I,B,EUR,2003-Q4,3428.494
Q,EUR,IN,N,A,I,B,EUR,2004-Q1,3472.016
Q,EUR,IN,N,A,I,B,EUR,2004-Q2,3385.411
Q,EUR,IN,N,A,I,B,EUR,2004-Q3,3238.106
Q,EUR,IN,N,A,I,B,EUR,2004-Q4,3313.445
Q,EUR,IN,N,A,I,B,EUR,2005-Q1,3140.369
Q,EUR,IN,N,A,I,B,EUR,2005-Q2,3237.705
Q,EUR,IN,N,A,I,B,EUR,2005-Q3,3367.956
Q,EUR,IN,N,A,I,B,EUR,2005-Q4,3238.317
Q,EUR,IN,N,A,I,B,EUR,2006-Q1,3631.755
Q,EUR,IN,N,A,I,B,EUR,2006-Q2,3769.523
Q,EUR,IN,N,A,I,B,EUR,2006-Q3,3710.987
Q,EUR,IN,N,A,I,B,EUR,2006-Q4,3705.773
Q,EUR,IN,N,A,I,B,EUR,2007-Q1,3711.287
Q,EUR,IN,N,A,I,B,EUR,2007-Q2,3874.095
Q,EUR,IN,N,A,I,B,EUR,2007-Q3,3882.731
Q,EUR,IN,N,A,I,B,EUR,2007-Q4,3891.084
Q,EUR,IN,N,A,I,B,EUR,2008-Q1,3929.991
Q,EUR,IN,N,A,I,B,EUR,2008-Q2,3856.006
Q,EUR,IN,N,A,I,B,EUR,2008-Q3,4114.65
Q,EUR,IN,N,A,I,B,EUR,2008-Q4,4221.181
Q,EUR,IN,N,A,I,B,EUR,2009-Q1,4293.423
Q,EUR,IN,N,A,I,B,EUR,2009-Q2,4261.273
Q,EUR,IN,N,A,I,B,EUR,2009-Q3,2432.819
Q,EUR,IN,N,A,I,B,EUR,2009-Q4,2484.229
Q,EUR,IN,N,A,I,B,EUR,2010-Q1,2667.714
Q,EUR,IN,N,A,I,B,EUR,2010-Q2,2684.33
Q,EUR,IN,N,A,I,B,EUR,2010-Q3,2881.742
Q,EUR,IN,N,A,I,B,EUR,2010-Q4,2895.564
Q,EUR,IN,N,A,I,B,EUR,2011-Q1,2739.338
Q,EUR,IN,N,A,I,B,EUR,2011-Q2,2810.631
Q,EUR,IN,N,A,I,B,EUR,2011-Q3,3043.731
Q,EUR,IN,N,A,I,B,EUR,2011-Q4,4521.564
Q,EUR,IN,N,A,I,B,EUR,2012-Q1,5245.321
Q,EUR,IN,N,A,I,B,EUR,2012-Q2,4416.536
Q,EUR,IN,N,A,I,B,EUR,2012-Q3,4039.411
Q,EUR,IN,N,A,I,B,EUR,2012-Q4,3627.72
Q,EUR,IN,N,A,I,B,EUR,2013-Q1,4387.309
Q,EUR,IN,N,A,I,B,EUR,2013-Q2,4190.219
Q,EUR,IN,N,A,I,B,EUR,2013-Q3,4429.069
Q,EUR,IN,N,A,I,B,EUR,2013-Q4,4344.29
Q,EUR,IN,N,A,I,B,EUR,2014-Q1,4574.26
Q,EUR,IN,N,A,I,B,EUR,2014-Q2,4827.558
Q,EUR,IN,N,A,I,B,EUR,2014-Q3,5391.044
Q,EUR,IN,N,A,I,B,EUR,2014-Q4,5807.199
Q,EUR,IN,N,A,I,B,EUR,2015-Q1,5772.58
Q,EUR,IN,N,A,I,B,EUR,2015-Q2,5238.327
Q,EUR,IN,N,A,I,B,EUR,2015-Q3,5290.428
Q,EUR,IN,N,A,I,B,EUR,2015-Q4,6106.328
Q,EUR,IN,N,A,I,B,EUR,2016-Q1,6340.857
Q,EUR,IN,N,A,I,B,EUR,2016-Q2,6076.07
