FREQ,REF_AREA,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
M,IN,771,1954-04,1.9
M,IN,771,1954-05,-3.179191
M,IN,771,1954-06,-8.768657
M,IN,771,1954-07,-10.211592
M,IN,771,1954-08,-9.528215
M,IN,771,1954-09,-6.880302
M,IN,771,1954-10,-4.868549
M,IN,771,1954-11,-5.876494
M,IN,771,1954-12,-7.907908
M,IN,771,1955-01,-8.596838
M,IN,771,1955-02,-7.55287
M,IN,771,1955-03,-9.412955
M,IN,771,1955-04,-14.033366
M,IN,771,1955-05,-12.338308
M,IN,771,1955-06,-9.611452
M,IN,771,1955-07,-6.25
M,IN,771,1955-08,-6.850716
M,IN,771,1955-09,-9.615385
M,IN,771,1955-10,-8.597748
M,IN,771,1955-11,-3.597884
M,IN,771,1955-12,0.108696
M,IN,771,1956-01,1.513514
M,IN,771,1956-02,2.287582
M,IN,771,1956-03,8.044693
M,IN,771,1956-04,12.442922
M,IN,771,1956-05,12.826334
M,IN,771,1956-06,13.800905
M,IN,771,1956-07,11.47541
M,IN,771,1956-08,15.148189
M,IN,771,1956-09,17.917133
M,IN,771,1956-10,17.693169
M,IN,771,1956-11,17.563117
M,IN,771,1956-12,15.635179
M,IN,771,1957-01,12.56656
M,IN,771,1957-02,12.140575
M,IN,771,1957-03,7.549121
M,IN,771,1957-04,6.497462
M,IN,771,1957-05,8.04829
M,IN,771,1957-06,8.449304
M,IN,771,1957-07,8.039216
M,IN,771,1957-08,5.14776
M,IN,771,1957-09,2.469136
M,IN,771,1957-10,2.093245
M,IN,771,1957-11,0.560224
M,IN,771,1957-12,-0.938967
M,IN,771,1958-01,-1.324503
M,IN,771,1958-02,-1.994302
M,IN,771,1958-03,-0.192308
M,IN,771,1958-04,0.85796
M,IN,771,1958-05,-0.744879
M,IN,771,1958-06,0.824931
M,IN,771,1958-07,2.540835
M,IN,771,1958-08,3.535811
M,IN,771,1958-09,6.39481
M,IN,771,1958-10,6.616962
M,IN,771,1958-11,4.271123
M,IN,771,1958-12,4.075829
M,IN,771,1959-01,6.136146
M,IN,771,1959-02,8.139535
M,IN,771,1959-03,6.647399
M,IN,771,1959-04,4.253308
M,IN,771,1959-05,5.347092
M,IN,771,1959-06,3.545455
M,IN,771,1959-07,1.858407
M,IN,771,1959-08,1.050788
M,IN,771,1959-09,0.609756
M,IN,771,1959-10,2.70979
M,IN,771,1959-11,3.829029
M,IN,771,1959-12,5.82878
M,IN,771,1960-01,5.691057
M,IN,771,1960-02,5.46595
M,IN,771,1960-03,5.781391
M,IN,771,1960-04,7.524932
M,IN,771,1960-05,7.747106
M,IN,771,1960-06,6.409131
M,IN,771,1960-07,6.863597
M,IN,771,1960-08,6.759099
M,IN,771,1960-09,6.839827
M,IN,771,1960-10,5.787234
M,IN,771,1960-11,6.346484
M,IN,771,1960-12,5.679862
M,IN,771,1961-01,5.726496
M,IN,771,1961-02,6.117247
M,IN,771,1961-03,7.258753
M,IN,771,1961-04,4.637437
M,IN,771,1961-05,2.066116
M,IN,771,1961-06,2.557756
M,IN,771,1961-07,3.170732
