FREQ,REF_AREA,VALUE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE
Q,IN,R,628,2009-Q1,88.9013
Q,IN,R,628,2009-Q2,91.8104
Q,IN,R,628,2009-Q3,93.1466
Q,IN,R,628,2009-Q4,94.6526
Q,IN,R,628,2010-Q1,96.2271
Q,IN,R,628,2010-Q2,99.1165
Q,IN,R,628,2010-Q3,103.5176
Q,IN,R,628,2010-Q4,100.9531
Q,IN,R,628,2011-Q1,104.84
Q,IN,R,628,2011-Q2,111.0931
Q,IN,R,628,2011-Q3,112.4555
Q,IN,R,628,2011-Q4,116.5977
Q,IN,R,628,2012-Q1,122.6886
Q,IN,R,628,2012-Q2,126.9924
Q,IN,R,628,2012-Q3,128.4417
Q,IN,R,628,2012-Q4,135.9487
Q,IN,R,628,2013-Q1,140.2135
Q,IN,R,628,2013-Q2,138.5209
Q,IN,R,628,2013-Q3,138.0677
Q,IN,R,628,2013-Q4,137.5208
Q,IN,R,628,2014-Q1,145.5673
Q,IN,R,628,2014-Q2,148.8004
Q,IN,R,628,2014-Q3,147.5988
Q,IN,R,628,2014-Q4,154.4816
Q,IN,R,628,2015-Q1,162.4629
Q,IN,R,628,2015-Q2,162.1712
Q,IN,R,628,2015-Q3,160.681
Q,IN,R,628,2015-Q4,161.0488
Q,IN,R,628,2016-Q1,159.3198
Q,IN,R,628,2016-Q2,164.81
Q,IN,R,628,2016-Q3,164.3757
Q,IN,R,628,2016-Q4,168.1657
Q,IN,R,628,2017-Q1,170.0027
Q,IN,R,628,2017-Q2,175.1898
Q,IN,R,628,2017-Q3,171.5682
Q,IN,R,628,2017-Q4,172.367
Q,IN,R,628,2018-Q1,173.4163
Q,IN,R,628,2018-Q2,176.13
Q,IN,R,628,2018-Q3,174.6793
Q,IN,R,628,2018-Q4,176.6471
Q,IN,R,628,2019-Q1,175.401
Q,IN,R,628,2019-Q2,176.6823
Q,IN,R,628,2019-Q3,174.1405
Q,IN,R,628,2019-Q4,171.9146
Q,IN,R,628,2020-Q1,170.8349
Q,IN,R,628,2020-Q2,170.5077
Q,IN,R,628,2020-Q3,164.7084
Q,IN,R,628,2020-Q4,165.2078
Q,IN,R,628,2021-Q1,167.2228
Q,IN,R,628,2021-Q2,164.6467
Q,IN,R,628,2021-Q3,160.5066
Q,IN,R,628,2021-Q4,162.1969
Q,IN,R,628,2022-Q1,160.0698
Q,IN,R,628,2022-Q2,158.6761
Q,IN,R,628,2022-Q3,159.9862
Q,IN,R,628,2022-Q4,159.7076
Q,IN,R,628,2023-Q1,157.2766
Q,IN,R,628,2023-Q2,157.3215
Q,IN,R,628,2023-Q3,154.2193
Q,IN,R,628,2023-Q4,156.0796
Q,IN,R,628,2024-Q1,160.0363
Q,IN,R,628,2024-Q2,161.3394
Q,IN,R,628,2024-Q3,158.2476
Q,IN,R,628,2024-Q4,157.8825
Q,IN,R,628,2025-Q1,160.2325
Q,IN,R,628,2025-Q2,162.5237
Q,IN,R,628,2025-Q3,161.1433
Q,IN,R,628,2025-Q4,162.6139
Q,IN,R,771,2010-Q1,8.2404
Q,IN,R,771,2010-Q2,7.9579
Q,IN,R,771,2010-Q3,11.1341
Q,IN,R,771,2010-Q4,6.6565
Q,IN,R,771,2011-Q1,8.9505
Q,IN,R,771,2011-Q2,12.0833
Q,IN,R,771,2011-Q3,8.6342
Q,IN,R,771,2011-Q4,15.4969
Q,IN,R,771,2012-Q1,17.0246
Q,IN,R,771,2012-Q2,14.3117
Q,IN,R,771,2012-Q3,14.2156
Q,IN,R,771,2012-Q4,16.5963
Q,IN,R,771,2013-Q1,14.2841
