FREQ,BORROWERS_CTY,TC_BORROWERS,TC_LENDERS,VALUATION,UNIT_TYPE,TC_ADJUST,TIME_PERIOD,OBS_VALUE
Q,IN,C,A,M,XDC,A,1981-Q1,1368.882
Q,IN,C,A,M,XDC,A,1981-Q2,1424.582
Q,IN,C,A,M,XDC,A,1981-Q3,1478.417
Q,IN,C,A,M,XDC,A,1981-Q4,1571.337
Q,IN,C,A,M,XDC,A,1982-Q1,1632.35
Q,IN,C,A,M,XDC,A,1982-Q2,1690.181
Q,IN,C,A,M,XDC,A,1982-Q3,1755.693
Q,IN,C,A,M,XDC,A,1982-Q4,1896.112
Q,IN,C,A,M,XDC,A,1983-Q1,1966.063
Q,IN,C,A,M,XDC,A,1983-Q2,2021.62
Q,IN,C,A,M,XDC,A,1983-Q3,2086.537
Q,IN,C,A,M,XDC,A,1983-Q4,2206.856
Q,IN,C,A,M,XDC,A,1984-Q1,2291.39
Q,IN,C,A,M,XDC,A,1984-Q2,2384.059
Q,IN,C,A,M,XDC,A,1984-Q3,2454.182
Q,IN,C,A,M,XDC,A,1984-Q4,2609.039
Q,IN,C,A,M,XDC,A,1985-Q1,2707.468
Q,IN,C,A,M,XDC,A,1985-Q2,2792.865
Q,IN,C,A,M,XDC,A,1985-Q3,2911.491
Q,IN,C,A,M,XDC,A,1985-Q4,3062.107
Q,IN,C,A,M,XDC,A,1986-Q1,3248.631
Q,IN,C,A,M,XDC,A,1986-Q2,3333.307
Q,IN,C,A,M,XDC,A,1986-Q3,3438.786
Q,IN,C,A,M,XDC,A,1986-Q4,3601.36
Q,IN,C,A,M,XDC,A,1987-Q1,3817.022
Q,IN,C,A,M,XDC,A,1987-Q2,3893.264
Q,IN,C,A,M,XDC,A,1987-Q3,4035.715
Q,IN,C,A,M,XDC,A,1987-Q4,4217.787
Q,IN,C,A,M,XDC,A,1988-Q1,4494.813
Q,IN,C,A,M,XDC,A,1988-Q2,4602.013
Q,IN,C,A,M,XDC,A,1988-Q3,4779.099
Q,IN,C,A,M,XDC,A,1988-Q4,5094.949
Q,IN,C,A,M,XDC,A,1989-Q1,5290.589
Q,IN,C,A,M,XDC,A,1989-Q2,5506.48
Q,IN,C,A,M,XDC,A,1989-Q3,5688.438
Q,IN,C,A,M,XDC,A,1989-Q4,5987.413
Q,IN,C,A,M,XDC,A,1990-Q1,6270.693
Q,IN,C,A,M,XDC,A,1990-Q2,6457.838
Q,IN,C,A,M,XDC,A,1990-Q3,6620.483
Q,IN,C,A,M,XDC,A,1990-Q4,6899.367
Q,IN,C,A,M,XDC,A,1991-Q1,7139.656
Q,IN,C,A,M,XDC,A,1991-Q2,7365.122
Q,IN,C,A,M,XDC,A,1991-Q3,7588.267
Q,IN,C,A,M,XDC,A,1991-Q4,7913.755
Q,IN,C,A,M,XDC,A,1992-Q1,8305.547
Q,IN,C,A,M,XDC,A,1992-Q2,8635.104
Q,IN,C,A,M,XDC,A,1992-Q3,8925.988
Q,IN,C,A,M,XDC,A,1992-Q4,9293.304
Q,IN,C,A,M,XDC,A,1993-Q1,9672.856
Q,IN,C,A,M,XDC,A,1993-Q2,9917.671
Q,IN,C,A,M,XDC,A,1993-Q3,10092.108
Q,IN,C,A,M,XDC,A,1993-Q4,10473.392
Q,IN,C,A,M,XDC,A,1994-Q1,10840.374
Q,IN,C,A,M,XDC,A,1994-Q2,11061.42
Q,IN,C,A,M,XDC,A,1994-Q3,11553.266
Q,IN,C,A,M,XDC,A,1994-Q4,11985.792
Q,IN,C,A,M,XDC,A,1995-Q1,12705.279
Q,IN,C,A,M,XDC,A,1995-Q2,12966.096
Q,IN,C,A,M,XDC,A,1995-Q3,13509.775
Q,IN,C,A,M,XDC,A,1995-Q4,13967.556
Q,IN,C,A,M,XDC,A,1996-Q1,14711.83
Q,IN,C,A,M,XDC,A,1996-Q2,14920.837
Q,IN,C,A,M,XDC,A,1996-Q3,15251.316
Q,IN,C,A,M,XDC,A,1996-Q4,15633.304
Q,IN,C,A,M,XDC,A,1997-Q1,16322.342
Q,IN,C,A,M,XDC,A,1997-Q2,16572.554
Q,IN,C,A,M,XDC,A,1997-Q3,16951.898
Q,IN,C,A,M,XDC,A,1997-Q4,17654.48
Q,IN,C,A,M,XDC,A,1998-Q1,18663.704
Q,IN,C,A,M,XDC,A,1998-Q2,19114.609
Q,IN,C,A,M,XDC,A,1998-Q3,19805.741
Q,IN,C,A,M,XDC,A,1998-Q4,20442.329
Q,IN,C,A,M,XDC,A,1999-Q1,21657.822
Q,IN,C,A,M,XDC,A,1999-Q2,22056.717
Q,IN,C,A,M,XDC,A,1999-Q3,22925.543
Q,IN,C,A,M,XDC,A,1999-Q4,24183.231
Q,IN,C,A,M,XDC,A,2000-Q1,25210.811
Q,IN,C,A,M,XDC,A,2000-Q2,26125.159
Q,IN,C,A,M,XDC,A,2000-Q3,26784.469
Q,IN,C,A,M,XDC,A,2000-Q4,27853.759
Q,IN,C,A,M,XDC,A,2001-Q1,28654.071
Q,IN,C,A,M,XDC,A,2001-Q2,29409.419
Q,IN,C,A,M,XDC,A,2001-Q3,30303.573
Q,IN,C,A,M,XDC,A,2001-Q4,31465.751
Q,IN,C,A,M,XDC,A,2002-Q1,32774.066
Q,IN,C,A,M,XDC,A,2002-Q2,34451.254
Q,IN,C,A,M,XDC,A,2002-Q3,35325.265
Q,IN,C,A,M,XDC,A,2002-Q4,36463.432
Q,IN,C,A,M,XDC,A,2003-Q1,37797.942
Q,IN,C,A,M,XDC,A,2003-Q2,38580.847
Q,IN,C,A,M,XDC,A,2003-Q3,39304.885
Q,IN,C,A,M,XDC,A,2003-Q4,40857.332
Q,IN,C,A,M,XDC,A,2004-Q1,42798.18
Q,IN,C,A,M,XDC,A,2004-Q2,44056.29
Q,IN,C,A,M,XDC,A,2004-Q3,45677.156
Q,IN,C,A,M,XDC,A,2004-Q4,48339.738
Q,IN,C,A,M,XDC,A,2005-Q1,50618.012
Q,IN,C,A,M,XDC,A,2005-Q2,52359.726
Q,IN,C,A,M,XDC,A,2005-Q3,55305.357
Q,IN,C,A,M,XDC,A,2005-Q4,57205.103
Q,IN,C,A,M,XDC,A,2006-Q1,61416.932
Q,IN,C,A,M,XDC,A,2006-Q2,62673.974
Q,IN,C,A,M,XDC,A,2006-Q3,65994.831
Q,IN,C,A,M,XDC,A,2006-Q4,68188.265
Q,IN,C,A,M,XDC,A,2007-Q1,72707.865
Q,IN,C,A,M,XDC,A,2007-Q2,73411.428
Q,IN,C,A,M,XDC,A,2007-Q3,76752.205
Q,IN,C,A,M,XDC,A,2007-Q4,79779.459
Q,IN,C,A,M,XDC,A,2008-Q1,85427.323
Q,IN,C,A,M,XDC,A,2008-Q2,87613.432
Q,IN,C,A,M,XDC,A,2008-Q3,92196.323
Q,IN,C,A,M,XDC,A,2008-Q4,95222.937
Q,IN,C,A,M,XDC,A,2009-Q1,99254.31
Q,IN,C,A,M,XDC,A,2009-Q2,99833.126
Q,IN,C,A,M,XDC,A,2009-Q3,103330.967
Q,IN,C,A,M,XDC,A,2009-Q4,105893.687
Q,IN,C,A,M,XDC,A,2010-Q1,112942.234
Q,IN,C,A,M,XDC,A,2010-Q2,116274.775
Q,IN,C,A,M,XDC,A,2010-Q3,120220.286
Q,IN,C,A,M,XDC,A,2010-Q4,128139.872
Q,IN,C,A,M,XDC,A,2011-Q1,132793.376
Q,IN,C,A,M,XDC,A,2011-Q2,136541.091
Q,IN,C,A,M,XDC,A,2011-Q3,140896.785
Q,IN,C,A,M,XDC,A,2011-Q4,148456.166
Q,IN,C,A,M,XDC,A,2012-Q1,153024.481
Q,IN,C,A,M,XDC,A,2012-Q2,155497.143
Q,IN,C,A,M,XDC,A,2012-Q3,161869.586
Q,IN,C,A,M,XDC,A,2012-Q4,167945.904
Q,IN,C,A,M,XDC,A,2013-Q1,170061.998
Q,IN,C,A,M,XDC,A,2013-Q2,172922.992
Q,IN,C,A,M,XDC,A,2013-Q3,175850.797
Q,IN,C,A,M,XDC,A,2013-Q4,179876.263
Q,IN,C,A,M,XDC,A,2014-Q1,185635.564
Q,IN,C,A,M,XDC,A,2014-Q2,189776.635
Q,IN,C,A,M,XDC,A,2014-Q3,196528.903
Q,IN,C,A,M,XDC,A,2014-Q4,203551.992
Q,IN,C,A,M,XDC,A,2015-Q1,206180.534
Q,IN,C,A,M,XDC,A,2015-Q2,209067.657
Q,IN,C,A,M,XDC,A,2015-Q3,215683.335
Q,IN,C,A,M,XDC,A,2015-Q4,221507.865
Q,IN,C,A,M,XDC,A,2016-Q1,222439.896
Q,IN,C,A,M,XDC,A,2016-Q2,227413.12
Q,IN,C,A,M,XDC,A,2016-Q3,225889.129
Q,IN,C,A,M,XDC,A,2016-Q4,234476.265
Q,IN,C,A,M,XDC,A,2017-Q1,240161.836
Q,IN,C,A,M,XDC,A,2017-Q2,254564.388
Q,IN,C,A,M,XDC,A,2017-Q3,265182.947
Q,IN,C,A,M,XDC,A,2017-Q4,282934.606
Q,IN,C,A,M,XDC,A,2018-Q1,283348.121
Q,IN,C,A,M,XDC,A,2018-Q2,289681.421
Q,IN,C,A,M,XDC,A,2018-Q3,295019.174
Q,IN,C,A,M,XDC,A,2018-Q4,303224.43
Q,IN,C,A,M,XDC,A,2019-Q1,302642.511
Q,IN,C,A,M,XDC,A,2019-Q2,306433.62
Q,IN,C,A,M,XDC,A,2019-Q3,311673.577
Q,IN,C,A,M,XDC,A,2019-Q4,320124.901
Q,IN,C,A,M,XDC,A,2020-Q1,323335.939
Q,IN,C,A,M,XDC,A,2020-Q2,330910.483
Q,IN,C,A,M,XDC,A,2020-Q3,342232.053
Q,IN,C,A,M,XDC,A,2020-Q4,356415.43
Q,IN,C,A,M,XDC,A,2021-Q1,362903.489
Q,IN,C,A,M,XDC,A,2021-Q2,371596.099
Q,IN,C,A,M,XDC,A,2021-Q3,381642.946
Q,IN,C,A,M,XDC,A,2021-Q4,399653.842
Q,IN,C,A,M,XDC,A,2022-Q1,408804.511
Q,IN,C,A,M,XDC,A,2022-Q2,421919.68
Q,IN,C,A,M,XDC,A,2022-Q3,437984.989
Q,IN,C,A,M,XDC,A,2022-Q4,449499.368
Q,IN,C,A,M,XDC,A,2023-Q1,465668.683
Q,IN,C,A,M,XDC,A,2023-Q2,473482.054
Q,IN,C,A,M,XDC,A,2023-Q3,491452.808
Q,IN,C,A,M,XDC,A,2023-Q4,504610.083
Q,IN,C,A,M,XDC,A,2024-Q1,519068.16
Q,IN,C,A,M,XDC,A,2024-Q2,532130.449
Q,IN,C,A,M,XDC,A,2024-Q3,541788.877
Q,IN,C,A,M,XDC,A,2024-Q4,558153.633
Q,IN,C,A,M,XDC,A,2025-Q1,572066.975
Q,IN,C,A,M,XDC,A,2025-Q2,588410.466
Q,IN,C,A,M,XDC,A,2025-Q3,600721.446
Q,IN,N,A,M,XDC,U,2007-Q2,17714.484
Q,IN,N,A,M,XDC,U,2007-Q3,18832.869
Q,IN,N,A,M,XDC,U,2007-Q4,19927.963
Q,IN,N,A,M,XDC,U,2008-Q1,22372.058
Q,IN,N,A,M,XDC,U,2008-Q2,22711.459
Q,IN,N,A,M,XDC,U,2008-Q3,24418.514
Q,IN,N,A,M,XDC,U,2008-Q4,25241.639
Q,IN,N,A,M,XDC,U,2009-Q1,26840.498
Q,IN,N,A,M,XDC,U,2009-Q2,26518.356
Q,IN,N,A,M,XDC,U,2009-Q3,27653.355
Q,IN,N,A,M,XDC,U,2009-Q4,28371.461
Q,IN,N,A,M,XDC,U,2010-Q1,31377.718
Q,IN,N,A,M,XDC,U,2010-Q2,32413.507
Q,IN,N,A,M,XDC,U,2010-Q3,33476.277
Q,IN,N,A,M,XDC,U,2010-Q4,36681.025
Q,IN,N,A,M,XDC,U,2011-Q1,38282.833
Q,IN,N,A,M,XDC,U,2011-Q2,39182.56
Q,IN,N,A,M,XDC,U,2011-Q3,40370.385
Q,IN,N,A,M,XDC,U,2011-Q4,61427.118
Q,IN,N,A,M,XDC,U,2012-Q1,63424.586
Q,IN,N,A,M,XDC,U,2012-Q2,64522.406
Q,IN,N,A,M,XDC,U,2012-Q3,67375.761
Q,IN,N,A,M,XDC,U,2012-Q4,70096.498
Q,IN,N,A,M,XDC,U,2013-Q1,69776.467
Q,IN,N,A,M,XDC,U,2013-Q2,69603.734
Q,IN,N,A,M,XDC,U,2013-Q3,69456.082
Q,IN,N,A,M,XDC,U,2013-Q4,69800.012
Q,IN,N,A,M,XDC,U,2014-Q1,72568.901
