FREQ,REF_AREA,CURRENCY,COLLECTION,TIME_PERIOD,OBS_VALUE
M,IN,INR,E,1957-01,4.785
M,IN,INR,E,1957-02,4.785
M,IN,INR,E,1957-03,4.8
M,IN,INR,E,1957-04,4.798
M,IN,INR,E,1957-05,4.798
M,IN,INR,E,1957-06,4.793
M,IN,INR,E,1957-07,4.805
M,IN,INR,E,1957-08,4.81
M,IN,INR,E,1957-09,4.793
M,IN,INR,E,1957-10,4.785
M,IN,INR,E,1957-11,4.773
M,IN,INR,E,1957-12,4.77
M,IN,INR,E,1958-01,4.755
M,IN,INR,E,1958-02,4.76
M,IN,INR,E,1958-03,4.753
M,IN,INR,E,1958-04,4.75
M,IN,INR,E,1958-05,4.753
M,IN,INR,E,1958-06,4.775
M,IN,INR,E,1958-07,4.77
M,IN,INR,E,1958-08,4.778
M,IN,INR,E,1958-09,4.77
M,IN,INR,E,1958-10,4.77
M,IN,INR,E,1958-11,4.773
M,IN,INR,E,1958-12,4.78
M,IN,INR,E,1959-01,4.765
M,IN,INR,E,1959-02,4.763
M,IN,INR,E,1959-03,4.755
M,IN,INR,E,1959-04,4.753
M,IN,INR,E,1959-05,4.76
M,IN,INR,E,1959-06,4.758
M,IN,INR,E,1959-07,4.763
M,IN,INR,E,1959-08,4.768
M,IN,INR,E,1959-09,4.778
M,IN,INR,E,1959-10,4.77
M,IN,INR,E,1959-11,4.778
M,IN,INR,E,1959-12,4.783
M,IN,INR,E,1960-01,4.778
M,IN,INR,E,1960-02,4.775
M,IN,INR,E,1960-03,4.768
M,IN,INR,E,1960-04,4.765
M,IN,INR,E,1960-05,4.775
M,IN,INR,E,1960-06,4.77
M,IN,INR,E,1960-07,4.765
M,IN,INR,E,1960-08,4.763
M,IN,INR,E,1960-09,4.763
M,IN,INR,E,1960-10,4.758
M,IN,INR,E,1960-11,4.765
M,IN,INR,E,1960-12,4.773
M,IN,INR,E,1961-01,4.773
M,IN,INR,E,1961-02,4.79
M,IN,INR,E,1961-03,4.783
M,IN,INR,E,1961-04,4.788
M,IN,INR,E,1961-05,4.795
M,IN,INR,E,1961-06,4.8
M,IN,INR,E,1961-07,4.793
M,IN,INR,E,1961-08,4.773
M,IN,INR,E,1961-09,4.758
M,IN,INR,E,1961-10,4.758
M,IN,INR,E,1961-11,4.755
M,IN,INR,E,1961-12,4.765
M,IN,INR,E,1962-01,4.76
M,IN,INR,E,1962-02,4.755
M,IN,INR,E,1962-03,4.758
M,IN,INR,E,1962-04,4.76
M,IN,INR,E,1962-05,4.765
M,IN,INR,E,1962-06,4.768
M,IN,INR,E,1962-07,4.773
M,IN,INR,E,1962-08,4.78
M,IN,INR,E,1962-09,4.78
M,IN,INR,E,1962-10,4.778
M,IN,INR,E,1962-11,4.775
M,IN,INR,E,1962-12,4.775
M,IN,INR,E,1963-01,4.775
M,IN,INR,E,1963-02,4.775
M,IN,INR,E,1963-03,4.783
M,IN,INR,E,1963-04,4.78
M,IN,INR,E,1963-05,4.78
M,IN,INR,E,1963-06,4.78
M,IN,INR,E,1963-07,4.78
M,IN,INR,E,1963-08,4.783
M,IN,INR,E,1963-09,4.785
M,IN,INR,E,1963-10,4.785
M,IN,INR,E,1963-11,4.785
M,IN,INR,E,1963-12,4.785
M,IN,INR,E,1964-01,4.785
M,IN,INR,E,1964-02,4.785
M,IN,INR,E,1964-03,4.785
M,IN,INR,E,1964-04,4.78
M,IN,INR,E,1964-05,4.785
M,IN,INR,E,1964-06,4.795
M,IN,INR,E,1964-07,4.8
M,IN,INR,E,1964-08,4.8
M,IN,INR,E,1964-09,4.81
M,IN,INR,E,1964-10,4.808
M,IN,INR,E,1964-11,4.798
M,IN,INR,E,1964-12,4.795
M,IN,INR,E,1965-01,4.793
M,IN,INR,E,1965-02,4.79
M,IN,INR,E,1965-03,4.793
M,IN,INR,E,1965-04,4.783
M,IN,INR,E,1965-05,4.793
M,IN,INR,E,1965-06,4.795
M,IN,INR,E,1965-07,4.795
M,IN,INR,E,1965-08,4.798
M,IN,INR,E,1965-09,4.78
M,IN,INR,E,1965-10,4.775
M,IN,INR,E,1965-11,4.775
M,IN,INR,E,1965-12,4.775
M,IN,INR,E,1966-01,4.775
M,IN,INR,E,1966-02,4.78
M,IN,INR,E,1966-03,4.79
M,IN,INR,E,1966-04,4.792
M,IN,INR,E,1966-05,4.795
M,IN,INR,E,1966-06,7.575
M,IN,INR,E,1966-07,7.576
M,IN,INR,E,1966-08,7.576
M,IN,INR,E,1966-09,7.576
M,IN,INR,E,1966-10,7.576
M,IN,INR,E,1966-11,7.576
M,IN,INR,E,1966-12,7.576
M,IN,INR,E,1967-01,7.57
M,IN,INR,E,1967-02,7.576
M,IN,INR,E,1967-03,7.559
M,IN,INR,E,1967-04,7.559
M,IN,INR,E,1967-05,7.564
M,IN,INR,E,1967-06,7.576
M,IN,INR,E,1967-07,7.576
M,IN,INR,E,1967-08,7.576
M,IN,INR,E,1967-09,7.576
M,IN,INR,E,1967-10,7.576
M,IN,INR,E,1967-11,7.508
M,IN,INR,E,1967-12,7.547
M,IN,INR,E,1968-01,7.536
M,IN,INR,E,1968-02,7.553
M,IN,INR,E,1968-03,7.564
M,IN,INR,E,1968-04,7.582
M,IN,INR,E,1968-05,7.622
M,IN,INR,E,1968-06,7.622
M,IN,INR,E,1968-07,7.587
M,IN,INR,E,1968-08,7.605
M,IN,INR,E,1968-09,7.587
M,IN,INR,E,1968-10,7.582
M,IN,INR,E,1968-11,7.582
M,IN,INR,E,1968-12,7.628
M,IN,INR,E,1969-01,7.61
M,IN,INR,E,1969-02,7.582
M,IN,INR,E,1969-03,7.576
M,IN,INR,E,1969-04,7.593
M,IN,INR,E,1969-05,7.553
M,IN,INR,E,1969-06,7.587
M,IN,INR,E,1969-07,7.582
M,IN,INR,E,1969-08,7.616
M,IN,INR,E,1969-09,7.61
M,IN,INR,E,1969-10,7.57
M,IN,INR,E,1969-11,7.57
M,IN,INR,E,1969-12,7.559
M,IN,INR,E,1970-01,7.547
M,IN,INR,E,1970-02,7.536
M,IN,INR,E,1970-03,7.536
M,IN,INR,E,1970-04,7.536
M,IN,INR,E,1970-05,7.547
M,IN,INR,E,1970-06,7.564
M,IN,INR,E,1970-07,7.587
M,IN,INR,E,1970-08,7.605
M,IN,INR,E,1970-09,7.593
M,IN,INR,E,1970-10,7.587
M,IN,INR,E,1970-11,7.587
M,IN,INR,E,1970-12,7.576
M,IN,INR,E,1971-01,7.502
M,IN,INR,E,1971-02,7.508
M,IN,INR,E,1971-03,7.502
M,IN,INR,E,1971-04,7.496
M,IN,INR,E,1971-05,7.502
M,IN,INR,E,1971-06,7.502
M,IN,INR,E,1971-07,7.502
M,IN,INR,E,1971-08,7.593
M,IN,INR,E,1971-09,7.559
M,IN,INR,E,1971-10,7.559
M,IN,INR,E,1971-11,7.559
M,IN,INR,E,1971-12,7.279
M,IN,INR,E,1972-01,7.279
M,IN,INR,E,1972-02,7.279
M,IN,INR,E,1972-03,7.279
M,IN,INR,E,1972-04,7.279
M,IN,INR,E,1972-05,7.279
M,IN,INR,E,1972-06,7.766
M,IN,INR,E,1972-07,7.742
M,IN,INR,E,1972-08,7.747
M,IN,INR,E,1972-09,7.838
