"Date ","Symbol ","Security Name ","Client Name ","Buy / Sell ","Quantity Traded ","Trade Price / Wght. Avg. Price ","Remarks "
"15-MAY-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","SELL","10,51,916","406.67","-"
"15-MAY-2026","AGIIL","Agi Infra Limited","ARIHANT CAPITAL MARKETS LIMITED","BUY","10,76,858","401.28","-"
"15-MAY-2026","ATALREAL","Atal Realtech Limited","ALTIZEN VENTURES LLP","BUY","7,95,000","29.09","-"
"15-MAY-2026","ATALREAL","Atal Realtech Limited","VISHAL MAHESH WAGHELA","SELL","45,917","29.50","-"
"15-MAY-2026","ATALREAL","Atal Realtech Limited","VISHAL MAHESH WAGHELA","BUY","6,51,111","29.14","-"
"15-MAY-2026","AURIGROW","Auri Grow India Limited","ACHINTYA SECURITIES LIMITED","SELL","88,82,033","0.32","-"
"15-MAY-2026","AURIGROW","Auri Grow India Limited","ACHINTYA SECURITIES LIMITED","BUY","91,80,103","0.32","-"
"15-MAY-2026","AURIGROW","Auri Grow India Limited","TRANSGLOBAL SECURITIES LTD","SELL","60,93,376","0.32","-"
"15-MAY-2026","AURIGROW","Auri Grow India Limited","TRANSGLOBAL SECURITIES LTD","BUY","77,78,361","0.32","-"
"15-MAY-2026","EFCIL-RE","EFC (I) Ltd","MARTINA DEVELOPERS AND FINCON PRIVATE LIMITED","SELL","1,52,784","13.01","-"
"15-MAY-2026","GCSL","Gretex Corporate Services","MANSUKH SECURITIES & FINANCE LIMITED","SELL","1,46,277","400.54","-"
"15-MAY-2026","GCSL","Gretex Corporate Services","MANSUKH SECURITIES & FINANCE LIMITED","BUY","1,64,277","398.29","-"
"15-MAY-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","SELL","1,46,282","598.54","-"
"15-MAY-2026","JINDRILL","Jindal Drilling And Indus","JUNOMONETA FINSOL PRIVATE LIMITED","BUY","1,46,379","598.08","-"
"15-MAY-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","SELL","1,41,510","599.24","-"
"15-MAY-2026","JINDRILL","Jindal Drilling And Indus","QE SECURITIES LLP","BUY","1,50,453","592.70","-"
"15-MAY-2026","JPPOWER","Jaiprakash Power Ven. Lt","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","4,54,23,653","19.48","-"
"15-MAY-2026","JPPOWER","Jaiprakash Power Ven. Lt","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","4,54,23,653","19.52","-"
"15-MAY-2026","KAYNES","Kaynes Technology Ind Ltd","HRTI PRIVATE LIMITED","SELL","3,33,238","3,318.13","-"
"15-MAY-2026","KAYNES","Kaynes Technology Ind Ltd","HRTI PRIVATE LIMITED","BUY","3,61,183","3,301.90","-"
"15-MAY-2026","KAYNES","Kaynes Technology Ind Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","BUY","4,66,023","3,321.72","-"
"15-MAY-2026","KAYNES","Kaynes Technology Ind Ltd","JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED","SELL","4,66,023","3,323.87","-"
"15-MAY-2026","KESORAMIND","Kesoram Industries Ltd.","SHAH SHARAD KANAYALAL","BUY","16,00,000","12.40","-"
"15-MAY-2026","MACOBSTECH","Macobs Technologies Ltd","GOLDENDUNES BUILDERS AND DEVELOPERS PRIVATE LIMITED","BUY","1,98,400","245.50","-"
"15-MAY-2026","MACOBSTECH","Macobs Technologies Ltd","RAMAN  TALWAR","SELL","1,39,200","245.85","-"
"15-MAY-2026","MARKOLINES","Markolines Pavement Tec L","HI KLASS TRADING & INVESTMENT LIMITED","SELL","1,05,850","169.83","-"
"15-MAY-2026","MARKOLINES","Markolines Pavement Tec L","HI KLASS TRADING & INVESTMENT LIMITED","BUY","1,14,185","165.66","-"
"15-MAY-2026","MARKOLINES","Markolines Pavement Tec L","VISTAAR TRADING SERVICE PRIVATE LIMITED","SELL","1,72,012","167.08","-"
"15-MAY-2026","MARKOLINES","Markolines Pavement Tec L","VISTAAR TRADING SERVICE PRIVATE LIMITED","BUY","1,81,509","167.38","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","HRTI PRIVATE LIMITED","SELL","15,69,744","294.97","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","HRTI PRIVATE LIMITED","BUY","21,26,197","291.85","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","IRAGE BROKING SERVICES LLP","SELL","15,29,051","297.87","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","IRAGE BROKING SERVICES LLP","BUY","20,82,243","298.15","-"
"15-MAY-2026","NAZARA","Nazara Technologies Ltd","MICROCURVES TRADING PRIVATE LIMITED","BUY","21,59,417","297.66","-"
