symbol,company_name,classification,recommended_action,fp_risk_rationale,english_word_match,prod_observed_fp,validated_against_master
20MICRONS,20 Microns Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
21STCENMGM,21st Century Management Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
360ONE,360 ONE WAM LIMITED,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
3BBLACKBIO,3B Blackbio Dx Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
3IINFOLTD,3i Infotech Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
3MINDIA,3M India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
3PLAND,3P Land Holdings Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
5PAISA,5Paisa Capital Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
63MOONS,63 moons technologies limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
A2ZINFRA,A2Z Infra Engineering Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AAATECH,AAA Technologies Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AADHARHFC,Aadhar Housing Finance Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AAKASH,Aakash Exploration Services Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AARNAV,Aarnav Fashions Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AARON,Aaron Industries Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'aaron' triggers case-insensitive false matches in news,N,N,Y
AARTECH,Aartech Solonics Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AARTIDRUGS,Aarti Drugs Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AARTIIND,Aarti Industries Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AARTIPHARM,Aarti Pharmalabs Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AARTISURF,Aarti Surfactants Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AARVI,Aarvi Encon Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
AAVAS,Aavas Financiers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABAN,Aban Offshore Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABANSENT,Abans Enterprises Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABB,ABB India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABBOTINDIA,Abbott India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABCAPITAL,Aditya Birla Capital Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABCOTS,A B Cotspin India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABDL,Allied Blenders and Distillers Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABFRL,Aditya Birla Fashion and Retail Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABINFRA,A B Infrabuild Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABLBL,Aditya Birla Lifestyle Brands Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABMINTLLTD,ABM International Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABMKNO,ABM Knowledgeware Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABREL,Aditya Birla Real Estate Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ABSLAMC,Aditya Birla Sun Life AMC Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ACC,ACC Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'acc' triggers case-insensitive false matches in news,N,N,Y
ACCELYA,Accelya Solutions India Limited,keep,keep,Low ambiguity corporate name or ticker symbol,N,N,Y
ACCURACY,Accuracy Shipping Limited,symbol_stoplist,drop_bare_symbol_alias,Common English word 'accuracy' triggers case-insensitive false matches in news,Y,N,Y
