symbol,news_published_at_ist,source,headline,url
MARUTI,2026-04-28 15:34,Financial Express,"Maruti Suzuki Q4 results: Profit falls 6.4% while revenue jumps 28%; dividend announced",https://www.financialexpress.com/business/industry-maruti-suzuki-q4-results-profit-falls-6-4-while-revenue-jumps-28-dividend-announcednbsp-4220627/
MARUTI,2026-04-28 15:34,Financial Express,"Maruti Suzuki Q4 results: Profit falls 6.4% while revenue jumps 28%; dividend announced",https://www.financialexpress.com/business/industry-maruti-suzuki-q4-results-profit-falls-6-4-while-revenue-jumps-28-dividend-announcednbsp-4220627/
MARUTI,2026-04-28 15:34,Financial Express,"Maruti Suzuki Q4 results: Profit falls 6.4% while revenue jumps 28%; dividend announced",https://www.financialexpress.com/business/industry-maruti-suzuki-q4-results-profit-falls-6-4-while-revenue-jumps-28-dividend-announcednbsp-4220627/
MARUTI,2026-04-28 15:34,Financial Express,"Maruti Suzuki Q4 results: Profit falls 6.4% while revenue jumps 28%; dividend announced",https://www.financialexpress.com/business/industry-maruti-suzuki-q4-results-profit-falls-6-4-while-revenue-jumps-28-dividend-announcednbsp-4220627/
MARUTI,2026-04-28 15:44,Livemint,"Maruti Suzuki Q4 Results 2026 Highlights: PAT drops 7% YoY to ₹3,591 crore; ₹140/share dividend declared",https://www.livemint.com/market/stock-market-news/maruti-suzuki-q4-results-2026-live-maruti-suzuki-share-price-maruti-suzuki-q4-earnings-profit-dividend-29-april-2026-11777355118123.html
MARUTI,2026-04-28 15:44,Livemint,"Maruti Suzuki Q4 Results 2026 Highlights: PAT drops 7% YoY to ₹3,591 crore; ₹140/share dividend declared",https://www.livemint.com/market/stock-market-news/maruti-suzuki-q4-results-2026-live-maruti-suzuki-share-price-maruti-suzuki-q4-earnings-profit-dividend-29-april-2026-11777355118123.html
MARUTI,2026-04-28 15:44,Livemint,"Maruti Suzuki Q4 Results 2026 Highlights: PAT drops 7% YoY to ₹3,591 crore; ₹140/share dividend declared",https://www.livemint.com/market/stock-market-news/maruti-suzuki-q4-results-2026-live-maruti-suzuki-share-price-maruti-suzuki-q4-earnings-profit-dividend-29-april-2026-11777355118123.html
MARUTI,2026-04-28 15:44,Livemint,"Maruti Suzuki Q4 Results 2026 Highlights: PAT drops 7% YoY to ₹3,591 crore; ₹140/share dividend declared",https://www.livemint.com/market/stock-market-news/maruti-suzuki-q4-results-2026-live-maruti-suzuki-share-price-maruti-suzuki-q4-earnings-profit-dividend-29-april-2026-11777355118123.html
M&M,2026-05-05 12:27,Livemint,"M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,667.57 crore; declares a final dividend of ₹33",https://www.livemint.com/market/stock-market-news/mm-q4-results-2026-profit-jumps-42-yoy-to-4-667-57-crore-declares-a-final-dividend-of-33-11777964170440.html
M&M,2026-05-05 12:27,Livemint,"M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,667.57 crore; declares a final dividend of ₹33",https://www.livemint.com/market/stock-market-news/mm-q4-results-2026-profit-jumps-42-yoy-to-4-667-57-crore-declares-a-final-dividend-of-33-11777964170440.html
M&M,2026-05-05 12:27,Livemint,"M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,667.57 crore; declares a final dividend of ₹33",https://www.livemint.com/market/stock-market-news/mm-q4-results-2026-profit-jumps-42-yoy-to-4-667-57-crore-declares-a-final-dividend-of-33-11777964170440.html
M&M,2026-05-05 12:27,Livemint,"M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,667.57 crore; declares a final dividend of ₹33",https://www.livemint.com/market/stock-market-news/mm-q4-results-2026-profit-jumps-42-yoy-to-4-667-57-crore-declares-a-final-dividend-of-33-11777964170440.html
M&M,2026-05-05 12:27,Livemint,"M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,667.57 crore; declares a final dividend of ₹33",https://www.livemint.com/market/stock-market-news/mm-q4-results-2026-profit-jumps-42-yoy-to-4-667-57-crore-declares-a-final-dividend-of-33-11777964170440.html
M&M,2026-05-05 19:13,Financial Express,"M&M Q4 profit jumps 42% on SUV, tractor strength; beats estimates",https://www.financialexpress.com/business/industry-mampm-q4-profit-jumps-42-on-suv-tractor-strength-beats-estimates-4232571/
M&M,2026-05-05 19:13,Financial Express,"M&M Q4 profit jumps 42% on SUV, tractor strength; beats estimates",https://www.financialexpress.com/business/industry-mampm-q4-profit-jumps-42-on-suv-tractor-strength-beats-estimates-4232571/
M&M,2026-05-05 19:13,Financial Express,"M&M Q4 profit jumps 42% on SUV, tractor strength; beats estimates",https://www.financialexpress.com/business/industry-mampm-q4-profit-jumps-42-on-suv-tractor-strength-beats-estimates-4232571/
M&M,2026-05-05 19:13,Financial Express,"M&M Q4 profit jumps 42% on SUV, tractor strength; beats estimates",https://www.financialexpress.com/business/industry-mampm-q4-profit-jumps-42-on-suv-tractor-strength-beats-estimates-4232571/
M&M,2026-05-05 19:13,Financial Express,"M&M Q4 profit jumps 42% on SUV, tractor strength; beats estimates",https://www.financialexpress.com/business/industry-mampm-q4-profit-jumps-42-on-suv-tractor-strength-beats-estimates-4232571/
ITC,-,-,NO_NEWS_FOUND,-
RELIANCE,-,-,NO_NEWS_FOUND,-
