announced_at,symbol,category_raw,bucket,subject,entry_bar_ts_utc,news_published_at,news_headline,t+5min,t+15min,t+30min,t+60min,t+240min,EOD_close,next_day_close
2026-04-28T09:11:09.000Z,MARUTI,Outcome of Board Meeting,board_meeting|financial_results,"Maruti Suzuki India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026.",2026-04-28T09:15:00.000Z,2026-04-28T10:04:00.000Z,Maruti Suzuki Q4 results: Profit falls 6.4% while revenue jumps 28%; dividend announced,-0.003313,-0.006902,-0.004487,0.031334,0.027603,-0.006024,0.021812
2026-04-28T09:21:12.000Z,MARUTI,Dividend,dividend,"Maruti Suzuki India Limited has informed the Exchange that Board of Directors at its meeting held on April 28, 2026, recommended Final Dividend of Rs. 140 per equity share.",2026-04-28T09:25:00.000Z,2026-04-28T10:04:00.000Z,Maruti Suzuki Q4 results: Profit falls 6.4% while revenue jumps 28%; dividend announced,-0.004501,-0.001245,-0.003623,0.036088,0.029391,-0.003623,0.021812
2026-04-28T09:24:05.000Z,MARUTI,Press Release,financial_results,"Maruti Suzuki India Limited has informed the Exchange regarding a press release dated April 28, 2026, titled ""Press Release on the annual financial results for the year ended on 31st March 2026"".",2026-04-28T09:25:00.000Z,2026-04-28T10:04:00.000Z,Maruti Suzuki Q4 results: Profit falls 6.4% while revenue jumps 28%; dividend announced,-0.004501,-0.001245,-0.003623,0.036088,0.029391,-0.003623,0.021812
2026-04-28T09:29:57.000Z,MARUTI,Record Date,dividend,Maruti Suzuki India Limited has informed the Exchange that Record date for the purpose of Dividend  is 07-Aug-2026.,2026-04-28T09:30:00.000Z,2026-04-28T10:04:00.000Z,Maruti Suzuki Q4 results: Profit falls 6.4% while revenue jumps 28%; dividend announced,0.003037,0.002414,0.034643,0.039470,0.033533,0.000877,0.021812
2026-05-05T06:52:12.000Z,M&M,Outcome of Board Meeting,board_meeting|financial_results,"Mahindra & Mahindra Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026.",2026-05-05T06:55:00.000Z,2026-05-05T06:57:00.000Z,M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,0.001408,0.000460,-0.002258,0.005930,0.047608,0.025335,0.012667
2026-05-05T06:54:26.000Z,M&M,Outcome of Board Meeting,board_meeting,"Mahindra & Mahindra Limited has informed the Exchange regarding Outcome of Board Meeting held on May 05, 2026.",2026-05-05T06:55:00.000Z,2026-05-05T06:57:00.000Z,M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,0.001408,0.000460,-0.002258,0.005930,0.047608,0.025335,0.012667
2026-05-05T06:54:29.000Z,M&M,Press Release,financial_results,"Mahindra & Mahindra Limited has informed the Exchange regarding a press release dated 5th May 2026, titled ""Press Release on Audited Standalone and Consolidated Financial Results of the Company for the fourth Quarter and financial year ended 31st March 2026""",2026-05-05T06:55:00.000Z,2026-05-05T06:57:00.000Z,M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,0.001408,0.000460,-0.002258,0.005930,0.047608,0.025335,0.012667
2026-05-05T06:54:50.000Z,M&M,Dividend,dividend,"Mahindra & Mahindra Limited has informed the Exchange that Board of Directors at its meeting held on May 05, 2026, recommended Final Dividend of Rs. 33 per equity share.",2026-05-05T06:55:00.000Z,2026-05-05T06:57:00.000Z,M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,0.001408,0.000460,-0.002258,0.005930,0.047608,0.025335,0.012667
2026-05-05T07:01:26.000Z,M&M,Record Date,dividend,Mahindra & Mahindra Limited has informed the Exchange that Record date for the purpose of Dividend  is 03-Jul-2026.,2026-05-05T07:05:00.000Z,2026-05-05T06:57:00.000Z,M&M Q4 results 2026: Profit jumps 42% YoY to ₹4,-0.005579,-0.011874,0.006294,-0.000556,0.039866,0.019296,0.012667
2026-05-08T08:31:38.000Z,SBIN,Outcome of Board Meeting,board_meeting|financial_results|dividend,"State Bank Of India has submitted to the Exchange, the financial results and Dividend for the period ended March 31, 2026.",2026-05-08T08:35:00.000Z,2026-05-08T10:11:06.000Z,"BT Closing Bell | Sensex slips 516 points, Nifty below 24,200; SBI down 7%, Titan up 5% after Q4 results",-0.014799,-0.021269,-0.011366,-0.014928,-0.046823,-0.018656,-0.028261
2026-05-08T08:59:21.000Z,SBIN,Press Release,financial_results,SBIN: State Bank of India has informed the Exchange regarding Press Release on Q4FY26 financial results,2026-05-08T09:00:00.000Z,2026-05-08T10:11:06.000Z,"BT Closing Bell | Sensex slips 516 points, Nifty below 24,200; SBI down 7%, Titan up 5% after Q4 results",0.000113,0.001401,-0.003647,-0.029767,-0.037090,-0.007177,-0.028261
