pair,n,eg_resid_adf_t,eg_pass_5pct,approx_p,bh_fdr_survive,half_life_is
RELIANCE.NS/TCS.NS,4288,-0.804,false,0.8992,false,655.1
RELIANCE.NS/HDFCBANK.NS,4288,-0.845,false,0.8904,false,599.3
RELIANCE.NS/INFY.NS,4288,-2.186,false,0.4542,false,194.7
RELIANCE.NS/ICICIBANK.NS,4288,-1.920,false,0.5749,false,281.0
RELIANCE.NS/HINDUNILVR.NS,4288,-1.088,false,0.8384,false,499.5
RELIANCE.NS/ITC.NS,4288,0.345,false,0.9750,false,
RELIANCE.NS/SBIN.NS,4288,-1.021,false,0.8527,false,830.8
RELIANCE.NS/BAJFINANCE.NS,4288,-1.003,false,0.8566,false,545.6
RELIANCE.NS/BAJAJ-AUTO.NS,4288,-0.429,false,0.9348,false,1144.4
RELIANCE.NS/BHARTIARTL.NS,4288,-2.738,false,0.1963,false,115.3
RELIANCE.NS/WIPRO.NS,4288,-1.604,false,0.7066,false,329.8
RELIANCE.NS/MARUTI.NS,4288,-0.413,false,0.9363,false,1131.3
RELIANCE.NS/HCLTECH.NS,4288,-0.743,false,0.9053,false,1059.9
RELIANCE.NS/TATASTEEL.NS,4288,-0.907,false,0.8771,false,857.9
RELIANCE.NS/KOTAKBANK.NS,4288,-0.859,false,0.8874,false,661.1
RELIANCE.NS/AXISBANK.NS,4288,-0.575,false,0.9211,false,1133.4
RELIANCE.NS/ULTRACEMCO.NS,4288,-0.759,false,0.9039,false,847.6
RELIANCE.NS/SUNPHARMA.NS,4288,0.211,false,0.9750,false,
RELIANCE.NS/ASIANPAINT.NS,4288,-0.892,false,0.8802,false,680.9
RELIANCE.NS/NESTLEIND.NS,4288,-3.311,false,0.0548,false,125.5
RELIANCE.NS/POWERGRID.NS,4288,-1.704,false,0.6649,false,283.8
RELIANCE.NS/NTPC.NS,4288,0.108,false,0.9750,false,
RELIANCE.NS/ONGC.NS,4288,-1.732,false,0.6534,false,381.4
RELIANCE.NS/DIVISLAB.NS,4287,-1.725,false,0.6561,false,333.5
RELIANCE.NS/CIPLA.NS,4288,-0.879,false,0.8832,false,737.7
RELIANCE.NS/EICHERMOT.NS,4288,-0.083,false,0.9672,false,7035.2
RELIANCE.NS/GRASIM.NS,4288,-1.174,false,0.8199,false,479.0
RELIANCE.NS/HEROMOTOCO.NS,4288,-0.593,false,0.9194,false,846.9
RELIANCE.NS/HINDALCO.NS,4288,-1.233,false,0.8073,false,561.3
RELIANCE.NS/INDUSINDBK.NS,4288,0.451,false,0.9750,false,
RELIANCE.NS/JSWSTEEL.NS,4288,-2.127,false,0.4857,false,238.2
RELIANCE.NS/LT.NS,4288,-1.195,false,0.8153,false,537.1
RELIANCE.NS/M&M.NS,4288,-0.195,false,0.9568,false,3028.4
RELIANCE.NS/TECHM.NS,4288,-1.088,false,0.8382,false,628.2
RELIANCE.NS/TITAN.NS,4288,-1.065,false,0.8431,false,512.8
RELIANCE.NS/UPL.NS,4288,-0.575,false,0.9211,false,744.2
RELIANCE.NS/ADANIPORTS.NS,4288,-1.550,false,0.7290,false,338.3
RELIANCE.NS/ADANIENT.NS,4288,-2.134,false,0.4818,false,208.7
RELIANCE.NS/DRREDDY.NS,4288,-0.396,false,0.9378,false,1976.8
RELIANCE.NS/BAJAJFINSV.NS,4288,-1.295,false,0.7939,false,422.3
RELIANCE.NS/BRITANNIA.NS,4288,-0.757,false,0.9040,false,722.9
RELIANCE.NS/COALINDIA.NS,3834,-0.995,false,0.8583,false,557.9
RELIANCE.NS/SBILIFE.NS,2134,-3.322,false,0.0529,false,58.5
RELIANCE.NS/HDFCLIFE.NS,2102,-1.941,false,0.5664,false,131.9
RELIANCE.NS/APOLLOHOSP.NS,4288,-0.782,false,0.9017,false,862.0
TCS.NS/HDFCBANK.NS,4288,-3.218,false,0.0704,false,121.7
TCS.NS/ICICIBANK.NS,4288,-3.767,true,0.0167,false,76.5
TCS.NS/HINDUNILVR.NS,4288,-4.144,true,0.0080,false,113.9
TCS.NS/ITC.NS,4288,-1.536,false,0.7349,false,310.2
TCS.NS/SBIN.NS,4288,-2.464,false,0.3064,false,223.3
TCS.NS/BAJFINANCE.NS,4288,-2.982,false,0.1184,false,143.1
TCS.NS/BAJAJ-AUTO.NS,4288,-3.432,true,0.0412,false,108.2
TCS.NS/BHARTIARTL.NS,4288,-3.190,false,0.0751,false,173.8
