date,hurst,regime
2010-01-15,0.6068,trending
2010-01-18,0.6192,trending
2010-01-19,0.6033,trending
2010-01-20,0.6041,trending
2010-01-21,0.5757,trending
2010-01-22,0.5463,random_walk
2010-01-25,0.5507,trending
2010-01-27,0.5627,trending
2010-01-28,0.5438,random_walk
2010-01-29,0.5655,trending
2010-02-01,0.5603,trending
2010-02-02,0.5783,trending
2010-02-03,0.5640,trending
2010-02-04,0.5678,trending
2010-02-05,0.5840,trending
2010-02-08,0.5884,trending
2010-02-09,0.5889,trending
2010-02-10,0.6028,trending
2010-02-11,0.5921,trending
2010-02-15,0.5697,trending
2010-02-16,0.5669,trending
2010-02-17,0.5886,trending
2010-02-18,0.5693,trending
2010-02-19,0.5909,trending
2010-02-22,0.6079,trending
2010-02-23,0.6123,trending
2010-02-24,0.5803,trending
2010-02-25,0.5796,trending
2010-02-26,0.5802,trending
2010-03-02,0.5826,trending
2010-03-03,0.5514,trending
2010-03-04,0.5921,trending
2010-03-05,0.5690,trending
2010-03-08,0.5680,trending
2010-03-09,0.5783,trending
2010-03-10,0.5644,trending
2010-03-11,0.5456,random_walk
2010-03-12,0.5485,random_walk
2010-03-15,0.5485,random_walk
2010-03-16,0.5532,trending
2010-03-17,0.5413,random_walk
2010-03-18,0.5551,trending
2010-03-19,0.5516,trending
2010-03-22,0.5485,random_walk
2010-03-23,0.5546,trending
2010-03-25,0.5397,random_walk
2010-03-26,0.5203,random_walk
2010-03-29,0.5119,random_walk
2010-03-30,0.5130,random_walk
2010-03-31,0.5283,random_walk
2010-04-01,0.5220,random_walk
2010-04-05,0.5195,random_walk
2010-04-06,0.5121,random_walk
2010-04-07,0.5083,random_walk
2010-04-08,0.5199,random_walk
2010-04-09,0.5199,random_walk
2010-04-12,0.5316,random_walk
2010-04-13,0.5211,random_walk
2010-04-15,0.5326,random_walk
2010-04-16,0.5412,random_walk
2010-04-19,0.5242,random_walk
2010-04-20,0.5152,random_walk
2010-04-21,0.5097,random_walk
2010-04-22,0.5206,random_walk
2010-04-23,0.5118,random_walk
2010-04-26,0.5194,random_walk
2010-04-27,0.5130,random_walk
2010-04-28,0.5193,random_walk
2010-04-29,0.5205,random_walk
2010-04-30,0.5359,random_walk
2010-05-03,0.5375,random_walk
2010-05-04,0.5353,random_walk
2010-05-05,0.5217,random_walk
2010-05-06,0.5261,random_walk
2010-05-07,0.5093,random_walk
2010-05-10,0.5158,random_walk
2010-05-11,0.5097,random_walk
2010-05-12,0.5143,random_walk
2010-05-13,0.5097,random_walk
2010-05-14,0.5371,random_walk
2010-05-17,0.5426,random_walk
2010-05-18,0.5514,trending
2010-05-19,0.5577,trending
2010-05-20,0.5749,trending
2010-05-21,0.5865,trending
2010-05-24,0.5705,trending
2010-05-25,0.5672,trending
2010-05-26,0.5578,trending
2010-05-27,0.5659,trending
2010-05-28,0.5699,trending
2010-05-31,0.5709,trending
2010-06-01,0.5882,trending
2010-06-02,0.5643,trending
2010-06-03,0.5581,trending
2010-06-04,0.5739,trending
2010-06-07,0.5717,trending
2010-06-08,0.5704,trending
2010-06-09,0.5814,trending
2010-06-10,0.5748,trending
2010-06-11,0.5808,trending
2010-06-14,0.5697,trending
2010-06-15,0.5673,trending
2010-06-16,0.5670,trending
2010-06-17,0.5630,trending
2010-06-18,0.5604,trending
2010-06-21,0.5708,trending
2010-06-22,0.5564,trending
2010-06-23,0.5637,trending
2010-06-24,0.5681,trending
2010-06-25,0.5990,trending
2010-06-28,0.5758,trending
2010-06-29,0.5542,trending
2010-06-30,0.5492,random_walk
2010-07-01,0.5419,random_walk
2010-07-02,0.5669,trending
2010-07-05,0.5582,trending
2010-07-06,0.5374,random_walk
2010-07-07,0.5329,random_walk
2010-07-08,0.5358,random_walk
2010-07-09,0.5430,random_walk
2010-07-12,0.5297,random_walk
2010-07-13,0.5291,random_walk
2010-07-14,0.5508,trending
2010-07-15,0.5595,trending
2010-07-16,0.5809,trending
2010-07-19,0.6006,trending
2010-07-20,0.5834,trending
2010-07-21,0.5522,trending
2010-07-22,0.5526,trending
2010-07-23,0.5575,trending
2010-07-26,0.5494,random_walk
2010-07-27,0.5433,random_walk
2010-07-28,0.5564,trending
2010-07-29,0.5684,trending
2010-07-30,0.5609,trending
2010-08-02,0.5635,trending
2010-08-03,0.5718,trending
2010-08-04,0.5453,random_walk
2010-08-05,0.5530,trending
2010-08-06,0.5894,trending
2010-08-09,0.6012,trending
2010-08-10,0.6024,trending
2010-08-11,0.6035,trending
2010-08-12,0.5758,trending
2010-08-13,0.5770,trending
2010-08-16,0.5951,trending
2010-08-17,0.5911,trending
2010-08-18,0.5914,trending
2010-08-19,0.5943,trending
2010-08-20,0.5962,trending
2010-08-23,0.6356,trending
2010-08-24,0.6310,trending
2010-08-25,0.6341,trending
2010-08-26,0.6324,trending
2010-08-27,0.6298,trending
2010-08-30,0.6239,trending
2010-08-31,0.5968,trending
2010-09-01,0.5866,trending
2010-09-02,0.5839,trending
2010-09-03,0.5762,trending
2010-09-06,0.6024,trending
