variant,horizon,cost_bps,n,net_car,t,p,recency_car,recency_n
exclude,5,100,105,-0.003378753133544874,-0.8208476071843701,0.41173296744625243,-0.003378753133544874,105
exclude,5,250,105,-0.01837875313354486,-4.465006745513443,0.000008013692890829205,-0.01837875313354486,105
exclude,10,100,105,-0.0034862835858382544,-0.5826588255789329,0.5601229136032482,-0.0034862835858382544,105
exclude,10,250,105,-0.018486283585838238,-3.089592690393185,0.00200444820399448,-0.018486283585838238,105
exclude,15,100,105,-0.005982787434729908,-0.9080491987075695,0.36385217642664425,-0.005982787434729908,105
exclude,15,250,105,-0.020982787434729887,-3.1847033719020805,0.0014491543567811682,-0.020982787434729887,105
winsor,5,100,105,-0.0033710504102327913,-0.819449494698802,0.412529895388253,-0.003378753133544874,105
winsor,5,250,105,-0.018371050410232778,-4.465714285984792,0.000007987257882646759,-0.01837875313354486,105
winsor,10,100,105,-0.005436445576353326,-1.093645024767913,0.27411077890288804,-0.0034862835858382544,105
winsor,10,250,105,-0.0204364455763533,-4.111181968920058,0.000039385591675156206,-0.018486283585838238,105
winsor,15,100,105,-0.007297479985674673,-1.2394592004787173,0.21517562546283764,-0.005982787434729908,105
winsor,15,250,105,-0.02229747998567466,-3.7871726637122674,0.0001524214662418366,-0.020982787434729887,105
