symbol,ann_date,bucket,reaction_date,earcc,gap,intra,continuation_next
LICI.NS,2026-05-22,intraday,2026-05-22,0.01466,0.04349,-0.02641,0.02221
LGEINDIA.NS,2026-05-21,after-close,2026-05-22,-0.02722,-0.02954,0.00370,0.02165
LICI.NS,2026-05-21,after-close,2026-05-22,0.01466,0.04349,-0.02641,0.02221
NHPC.NS,2026-05-21,intraday,2026-05-21,-0.00983,0.00314,-0.00940,-0.00938
LENSKART.NS,2026-05-21,intraday,2026-05-21,0.02039,0.05371,-0.02827,0.02972
LENSKART.NS,2026-05-21,intraday,2026-05-21,0.02039,0.05371,-0.02827,0.02972
JUBLFOOD.NS,2026-05-20,after-close,2026-05-21,-0.08163,-0.04920,-0.03038,0.00102
JUBLFOOD.NS,2026-05-20,after-close,2026-05-21,-0.08163,-0.04920,-0.03038,0.00102
LENSKART.NS,2026-05-20,intraday,2026-05-20,-0.01326,-0.00944,-0.00246,0.02039
ANTHEM.NS,2026-05-20,intraday,2026-05-20,-0.01009,0.01734,-0.02559,-0.01814
MANKIND.NS,2026-05-19,after-close,2026-05-20,0.03524,0.00337,0.03315,-0.03055
ANTHEM.NS,2026-05-19,after-close,2026-05-20,-0.01009,0.01734,-0.02559,-0.01814
NHPC.NS,2026-05-18,intraday,2026-05-18,0.01742,-0.00039,0.01238,0.01073
COCHINSHIP.NS,2026-05-16,weekend,2026-05-18,-0.04536,-0.02854,-0.02292,-0.02243
NHPC.NS,2026-05-15,after-close,2026-05-18,0.01742,-0.00039,0.01238,0.01073
SAIL.NS,2026-05-15,after-close,2026-05-18,0.00715,-0.00208,0.00380,0.02615
COCHINSHIP.NS,2026-05-15,after-close,2026-05-18,-0.04536,-0.02854,-0.02292,-0.02243
COCHINSHIP.NS,2026-05-15,after-close,2026-05-18,-0.04536,-0.02854,-0.02292,-0.02243
PREMIERENE.NS,2026-05-15,after-close,2026-05-18,0.01083,0.01681,-0.01122,-0.01049
PREMIERENE.NS,2026-05-15,after-close,2026-05-18,0.01083,0.01681,-0.01122,-0.01049
ITCHOTELS.NS,2026-05-15,after-close,2026-05-18,-0.00769,0.01486,-0.02757,0.00900
HUDCO.NS,2026-05-15,after-close,2026-05-18,-0.02057,-0.00741,-0.01873,-0.00192
ITCHOTELS.NS,2026-05-15,intraday,2026-05-15,0.00555,0.00418,-0.00333,-0.00769
ENDURANCE.NS,2026-05-15,intraday,2026-05-15,-0.02243,-0.03611,0.00931,-0.00312
ENDURANCE.NS,2026-05-14,after-close,2026-05-15,-0.02243,-0.03611,0.00931,-0.00312
ENDURANCE.NS,2026-05-14,after-close,2026-05-15,-0.02243,-0.03611,0.00931,-0.00312
BHARTIHEXA.NS,2026-05-14,after-close,2026-05-15,0.03956,0.00351,0.03122,0.02803
HUDCO.NS,2026-05-14,after-close,2026-05-15,-0.07059,0.00739,-0.08209,-0.02057
HUDCO.NS,2026-05-14,after-close,2026-05-15,-0.07059,0.00739,-0.08209,-0.02057
MEDANTA.NS,2026-05-14,after-close,2026-05-15,0.02996,0.01824,0.00689,0.00278
HUDCO.NS,2026-05-14,intraday,2026-05-14,0.00681,0.00688,0.01063,-0.07059
VMM.NS,2026-05-14,intraday,2026-05-14,-0.02517,0.00753,-0.02176,0.01499
BHARTIHEXA.NS,2026-05-14,intraday,2026-05-14,0.00278,0.02182,-0.00808,0.03956
VMM.NS,2026-05-14,intraday,2026-05-14,-0.02517,0.00753,-0.02176,0.01499
LICHSGFIN.NS,2026-05-13,after-close,2026-05-14,-0.05389,-0.02630,-0.01727,-0.01911
LICHSGFIN.NS,2026-05-13,after-close,2026-05-14,-0.05389,-0.02630,-0.01727,-0.01911
OIL.NS,2026-05-13,after-close,2026-05-14,0.00983,0.03609,-0.01494,0.00616
BHARTIHEXA.NS,2026-05-13,after-close,2026-05-14,0.00278,0.02182,-0.00808,0.03956
OIL.NS,2026-05-13,after-close,2026-05-14,0.00983,0.03609,-0.01494,0.00616
BHARTIHEXA.NS,2026-05-13,after-close,2026-05-14,0.00278,0.02182,-0.00808,0.03956
HINDPETRO.NS,2026-05-13,intraday,2026-05-13,0.04792,0.00676,0.04753,-0.04295
HINDPETRO.NS,2026-05-13,intraday,2026-05-13,0.04792,0.00676,0.04753,-0.04295
DIXON.NS,2026-05-12,after-close,2026-05-13,0.09057,0.01154,0.08474,-0.01267
LENSKART.NS,2026-05-12,intraday,2026-05-12,-0.00280,-0.00255,-0.02589,-0.00459
JSWENERGY.NS,2026-05-11,after-close,2026-05-12,-0.04395,-0.03036,-0.04039,-0.02359
JSWENERGY.NS,2026-05-11,after-close,2026-05-12,-0.04395,-0.03036,-0.04039,-0.02359
UPL.NS,2026-05-11,intraday,2026-05-11,0.04763,-0.00310,0.03882,-0.03848
UPL.NS,2026-05-11,intraday,2026-05-11,0.04763,-0.00310,0.03882,-0.03848
ACC.NS,2026-05-10,weekend,2026-05-11,-0.01240,-0.00496,-0.01957,0.01755
SWIGGY.NS,2026-05-09,weekend,2026-05-11,-0.04787,-0.01622,-0.04439,-0.00419
LUPIN.NS,2026-05-09,weekend,2026-05-11,-0.03992,-0.02063,-0.03197,0.02092
WAAREEENER.NS,2026-05-08,after-close,2026-05-11,0.00543,-0.00313,-0.00348,-0.00048
BANKINDIA.NS,2026-05-08,after-close,2026-05-11,0.04129,0.02311,0.00601,-0.00028
JSWINFRA.NS,2026-05-08,after-close,2026-05-11,0.02507,-0.02309,0.03699,-0.02767
SWIGGY.NS,2026-05-08,after-close,2026-05-11,-0.04787,-0.01622,-0.04439,-0.00419
JSWINFRA.NS,2026-05-08,after-close,2026-05-11,0.02507,-0.02309,0.03699,-0.02767
KALYANKJIL.NS,2026-05-08,intraday,2026-05-08,0.03398,0.00669,0.02573,-0.08066
ENDURANCE.NS,2026-05-08,intraday,2026-05-08,-0.00149,-0.00244,-0.00043,0.05157
LUPIN.NS,2026-05-07,after-close,2026-05-08,-0.03138,-0.01427,-0.01876,-0.03992
BSE.NS,2026-05-07,after-close,2026-05-08,-0.01279,0.00000,-0.01418,0.01474
PAYTM.NS,2026-05-07,after-close,2026-05-08,-0.00722,-0.00200,-0.00661,0.02003
LLOYDSME.NS,2026-05-07,intraday,2026-05-07,-0.03126,0.00453,-0.02578,0.00695
LLOYDSME.NS,2026-05-07,intraday,2026-05-07,-0.03126,0.00453,-0.02578,0.00695
ESCORTS.NS,2026-05-07,intraday,2026-05-07,-0.00121,0.00540,0.00327,-0.05818
HEXT.NS,2026-05-06,after-close,2026-05-07,-0.00728,0.03407,-0.03042,0.05600
PAYTM.NS,2026-05-06,after-close,2026-05-07,0.06827,0.03548,0.04122,-0.00722
HEROMOTOCO.NS,2026-05-06,after-close,2026-05-07,0.02357,0.01257,0.02063,-0.00254
POLICYBZR.NS,2026-05-06,after-close,2026-05-07,-0.02029,0.00834,-0.01859,-0.02177
POLICYBZR.NS,2026-05-06,after-close,2026-05-07,-0.02029,0.00834,-0.01859,-0.02177
POLYCAB.NS,2026-05-06,intraday,2026-05-06,-0.00550,0.00756,0.00185,0.05992
POLYCAB.NS,2026-05-06,intraday,2026-05-06,-0.00550,0.00756,0.00185,0.05992
POLYCAB.NS,2026-05-06,intraday,2026-05-06,-0.00550,0.00756,0.00185,0.05992
POLYCAB.NS,2026-05-06,intraday,2026-05-06,-0.00550,0.00756,0.00185,0.05992
LLOYDSME.NS,2026-05-05,after-close,2026-05-06,-0.02579,0.03487,-0.04420,-0.03126
ACC.NS,2026-05-04,after-close,2026-05-05,-0.00426,-0.00150,-0.00251,0.00046
BAJAJHFL.NS,2026-05-04,after-close,2026-05-05,-0.00508,0.00081,-0.00563,-0.00936
BAJAJHFL.NS,2026-05-04,after-close,2026-05-05,-0.00508,0.00081,-0.00563,-0.00936
PETRONET.NS,2026-05-04,after-close,2026-05-05,0.02089,0.01193,0.00911,-0.01226
PETRONET.NS,2026-05-04,after-close,2026-05-05,0.02089,0.01193,0.00911,-0.01226
ABCAPITAL.NS,2026-05-04,intraday,2026-05-04,-0.00663,0.00434,-0.00331,0.04312
BHEL.NS,2026-05-04,intraday,2026-05-04,0.06227,0.00735,0.06211,-0.00582
ACC.NS,2026-05-01,after-close,2026-05-04,-0.02445,-0.00703,-0.00984,-0.00426
INDUSTOWER.NS,2026-04-30,after-close,2026-05-01,0.00000,0.00000,0.00000,-0.03131
BAJAJHFL.NS,2026-04-30,after-close,2026-05-01,0.00000,0.00000,0.00000,-0.01074
ACC.NS,2026-04-30,after-close,2026-05-01,0.00000,0.00000,0.00000,-0.02445
WAAREEENER.NS,2026-04-29,after-close,2026-04-30,-0.09986,-0.05792,-0.05491,0.00000
WAAREEENER.NS,2026-04-29,after-close,2026-04-30,-0.09986,-0.05792,-0.05491,0.00000
AWL.NS,2026-04-29,after-close,2026-04-30,-0.00924,-0.00090,-0.01815,0.00000
FEDERALBNK.NS,2026-04-29,intraday,2026-04-29,-0.02012,0.01858,-0.03801,0.01752
FEDERALBNK.NS,2026-04-29,intraday,2026-04-29,-0.02012,0.01858,-0.03801,0.01752
AWL.NS,2026-04-28,after-close,2026-04-29,-0.02307,0.02987,-0.05141,-0.00924
AWL.NS,2026-04-28,after-close,2026-04-29,-0.02307,0.02987,-0.05141,-0.00924
ATGL.NS,2026-04-27,after-close,2026-04-28,0.02926,0.00535,0.02324,0.00476
PETRONET.NS,2026-04-27,after-close,2026-04-28,-0.00724,0.00036,-0.00814,0.00866
ATGL.NS,2026-04-27,after-close,2026-04-28,0.02926,0.00535,0.02324,0.00476
NAM-INDIA.NS,2026-04-27,after-close,2026-04-28,0.03444,0.02753,0.00619,0.00554
AUBANK.NS,2026-04-27,after-close,2026-04-28,-0.01882,0.01908,-0.03773,-0.00502
AUBANK.NS,2026-04-27,after-close,2026-04-28,-0.01882,0.01908,-0.03773,-0.00502
BAJAJHFL.NS,2026-04-27,after-close,2026-04-28,-0.01812,0.00692,-0.02541,-0.01520
NAM-INDIA.NS,2026-04-27,intraday,2026-04-27,-0.00439,0.01700,-0.00633,0.03444
SBICARD.NS,2026-04-27,intraday,2026-04-27,-0.01436,0.00328,-0.00268,-0.03412
SBICARD.NS,2026-04-27,intraday,2026-04-27,-0.01436,0.00328,-0.00268,-0.03412
IDFCFIRSTB.NS,2026-04-25,weekend,2026-04-27,0.03026,0.00937,0.03551,-0.02166
LTF.NS,2026-04-24,after-close,2026-04-27,-0.02275,0.00569,-0.01340,-0.00644
LTF.NS,2026-04-24,after-close,2026-04-27,-0.02275,0.00569,-0.01340,-0.00644
YESBANK.NS,2026-04-24,after-close,2026-04-27,-0.00992,0.00050,0.00453,0.00205
INDUSINDBK.NS,2026-04-24,after-close,2026-04-27,0.04660,0.02034,0.04040,-0.01568
INDUSINDBK.NS,2026-04-24,after-close,2026-04-27,0.04660,0.02034,0.04040,-0.01568
OFSS.NS,2026-04-24,intraday,2026-04-24,0.02798,0.00324,0.01463,0.03097
LTTS.NS,2026-04-23,intraday,2026-04-23,-0.02430,-0.01453,-0.01401,-0.01017
OFSS.NS,2026-04-22,after-close,2026-04-23,0.08587,0.03735,0.04288,0.02798
OFSS.NS,2026-04-22,after-close,2026-04-23,0.08587,0.03735,0.04288,0.02798
LTTS.NS,2026-04-22,after-close,2026-04-23,-0.02430,-0.01453,-0.01401,-0.01017
LTTS.NS,2026-04-22,after-close,2026-04-23,-0.02430,-0.01453,-0.01401,-0.01017
ICICIAMC.NS,2026-04-22,after-close,2026-04-23,-0.02160,-0.00073,-0.02493,-0.00518
FORTIS.NS,2026-05-22,after-close,2026-05-25,0.00256,0.00895,0.00139,-0.00682
FORTIS.NS,2026-05-22,after-close,2026-05-25,0.00256,0.00895,0.00139,-0.00682
NTPCGREEN.NS,2026-05-22,after-close,2026-05-25,-0.03050,0.00010,-0.02280,0.00704
POWERINDIA.NS,2026-05-25,after-close,2026-05-26,0.00715,-0.00659,0.01681,0.03845
RVNL.NS,2026-05-25,after-close,2026-05-26,-0.04957,-0.03120,-0.01591,-0.03343
SUZLON.NS,2026-05-25,intraday,2026-05-25,-0.00333,0.01860,-0.01388,0.00797
IRCTC.NS,2026-05-26,after-close,2026-05-27,-0.03081,-0.00894,-0.01728,-0.01267
IRCTC.NS,2026-05-26,after-close,2026-05-27,-0.03081,-0.00894,-0.01728,-0.01267
AIIL.NS,2026-05-26,after-close,2026-05-27,-0.00040,-0.03607,0.04193,-0.02388
IRCTC.NS,2026-05-26,after-close,2026-05-27,-0.03081,-0.00894,-0.01728,-0.01267
GROWW.NS,2026-04-20,intraday,2026-04-20,-0.01008,0.01341,-0.02433,0.08513
