side,symbol,deal_date,band,deal_value_inr,adv_ratio,pre_car,day0_ar,post_car_h5
BUY,TRACXN.NS,2026-02-09,broad,66000000,10.81,-0.12688,0.07735,-0.09484600058155612
BUY,ELLEN.NS,2025-12-10,micro,534588750,18.46,-0.04049,-0.00836,-0.010733020122894232
BUY,RTNPOWER.NS,2025-06-11,micro,968473256,5.76,0.23391,0.06253,-0.06065697854730123
BUY,ANTELOPUS.NS,2026-01-28,broad,412131961,11.36,0.30664,-0.04474,-0.0013374459018780094
BUY,RAYMONDLSL.NS,2026-01-30,micro,385931250,6.30,0.04115,0.12104,-0.01471342127116615
BUY,BLACKBUCK.NS,2025-08-06,micro,587261541,2.98,0.05540,0.16635,0.06136730858142647
BUY,MMTC.NS,2025-05-29,smallcap,687452707,4.80,0.10096,0.16316,-0.1598506788858588
BUY,MEDIASSIST.NS,2025-08-12,broad,10131727747,116.85,-0.01640,0.05739,-0.03715320704166181
BUY,CARTRADE.NS,2025-05-23,smallcap,485395975,0.90,-0.03499,-0.02105,-0.08729192215967374
BUY,KAYNES.NS,2025-12-12,smallcap,5925613579,1.17,-0.15757,0.04687,-0.0068285534960211836
BUY,SYRMA.NS,2025-11-12,smallcap,912044295,1.14,0.07647,0.06698,-0.011466778037796277
BUY,TEJASNET.NS,2026-03-02,smallcap,21530928254,56.47,0.32013,0.13401,-0.06319981983056988
BUY,PCBL.NS,2026-03-25,smallcap,1094414795,3.54,-0.04533,0.13500,-0.007998599058000488
BUY,SYMPHONY.NS,2025-05-08,broad,600444068,4.46,0.01274,0.06843,-0.01549038122180657
BUY,NIBE.NS,2025-09-29,broad,243591753,3.47,0.07046,0.04453,-0.08049073017426311
BUY,PNBHOUSING.NS,2025-05-02,smallcap,19498222865,14.90,0.04780,0.04249,-0.0038375427465235923
BUY,RAYMOND.NS,2025-03-21,broad,699784586,2.29,0.09724,0.04463,-0.06279329024762736
BUY,JUSTDIAL.NS,2025-04-21,micro,999929504,4.77,0.06970,0.10133,-0.01790634450292461
BUY,MTARTECH.NS,2025-02-20,micro,286575371,2.15,-0.05400,0.12465,-0.0280244012587183
BUY,SGFIN.NS,2026-02-06,broad,106896000,2.30,0.01661,0.06772,0.055824091409554355
