side,horizon,cost_bps,n,net_post_car,t,p
BUY,3,100,6120,-0.012828262766130772,-15.410881594063289,0
BUY,3,250,6120,-0.027828262766130693,-33.43072014315086,0
BUY,5,100,6120,-0.013114283238236222,-12.422779257695105,0
BUY,5,250,6120,-0.0281142832382362,-26.63184318290646,0
BUY,10,100,6120,-0.01214451116687091,-8.543639851347464,0
BUY,10,250,6120,-0.02714451116687102,-19.09611051149282,0
SELL,3,100,6393,-0.01196056365615814,-14.7169788192768,0
SELL,3,250,6393,-0.026960563656158065,-33.17385833059405,0
SELL,5,100,6393,-0.01214580232899813,-11.756594521281874,0
SELL,5,250,6393,-0.02714580232899803,-26.275924989734627,0
SELL,10,100,6393,-0.010976049848748887,-7.95051944761518,1.7763568394002505e-15
SELL,10,250,6393,-0.02597604984874894,-18.815793690864158,0
