event_id,ticker,company,tier,status,filed_ist,our_catch_ist,lag_min,pub_lag_min,pre_covered,our_source,category,subject
106658630,DANGEE,"Dangee Dums Limited",large/other,RSS_MISS,2026-06-09 15:01,,,,false,"","Outcome of Board Meeting","Dangee Dums Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 09, 2026 for Appointment of Company Secretary a"
106658624,JSWINFRA,"JSW Infrastructure Limited",mid,RSS_MISS,2026-06-09 14:50,,,,false,"","Bagging/Receiving of orders/contracts","JSW Infrastructure Limited has informed the Exchange about Bagging/Receiving of orders/contracts"
106658592,VIKRAN,"Vikran Engineering Limited",large/other,RSS_MISS,2026-06-09 14:20,,,,false,"","Allotment of Securities","Vikran Engineering Limited has informed the Exchange regarding allotment of 40 securities pursuant to Non Convertible Securities at its meet"
106658561,KNRCON,"KNR Constructions Limited",micro,RSS_MISS,2026-06-09 14:05,,,,false,"","Bagging/Receiving of orders/contracts","KNR Constructions Limited has informed the Exchange about Bagging/Receiving of orders/contracts"
106658555,MEGASTAR,"Megastar Foods Limited",large/other,RSS_MISS,2026-06-09 13:55,,,,false,"","Outcome of Board Meeting","Megastar Foods Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 09, 2026."
106658544,WANBURY,"Wanbury Limited",large/other,RSS_MISS,2026-06-09 13:38,,,,false,"","Press Release","Wanbury Limited has informed the Exchange regarding a press release dated Jun 09, 2026, titled 'Press Release on Launch of New APIs.'."
106658537,ICICIPRULI,"ICICI Prudential Life Insurance Company Limited",mid,RSS_MISS,2026-06-09 13:35,,,,false,"","ESOP/ESOS/ESPS","ICICI Prudential Life Insurance Company Limited has informed the Exchange regarding allotment of 35610 shares."
106658529,BAJAJ-AUTO,"Bajaj Auto Limited",large/other,RSS_MISS,2026-06-09 13:29,,,,false,"","Action(s) taken or orders passed","Bajaj Auto Limited has informed the Exchange about Action(s) taken or orders passed"
106658522,MUFIN,"Mufin Green Finance Limited",large/other,RSS_MISS,2026-06-09 13:21,,,,false,"","Allotment of Securities","Mufin Green Finance Limited has informed the Exchange regarding allotment of 100000 non convertible debentures pursuant to Private Placement"
106658515,ADANIENSOL,"Adani Energy Solutions Limited",large/other,matched,2026-06-09 13:14,2026-06-09 13:50,36,30,false,"Hindu Business Line","Press Release","Adani Energy Solutions Limited has informed the Exchange regarding a press release dated Jun 09, 2026, titled 'Adani Energy Solutions to acq"
106658512,STANLEY,"Stanley Lifestyles Limited",large/other,RSS_MISS,2026-06-09 13:12,,,,false,"","Outcome of Board Meeting","Stanley Lifestyles Limited has informed the Exchange regarding Outcome of Board Meeting held on June 09, 2026."
106658494,ADANIENSOL,"Adani Energy Solutions Limited",large/other,matched,2026-06-09 12:56,2026-06-09 13:50,54,48,false,"Hindu Business Line","General Updates","Adani Energy Solutions Limited has informed the Exchange about Signing the Securities Purchase and Subscription Agreement for Acquisition of"
106658479,GODREJPROP,"Godrej Properties Limited",mid,RSS_MISS,2026-06-09 12:45,,,,true,"","Press Release","Godrej Properties Limited has informed the Exchange regarding a press release dated Jun 09, 2026, titled 'Press Release'."
106658478,MUTHOOTCAP,"Muthoot Capital Services Limited",large/other,RSS_MISS,2026-06-09 12:45,,,,false,"","Credit Rating","Muthoot Capital Services Limited has informed the Exchange about Credit Rating"
106658477,MUTHOOTMF,"Muthoot Microfin Limited",large/other,RSS_MISS,2026-06-09 12:45,,,,false,"","Credit Rating","Muthoot Microfin Limited has informed the Exchange about Credit Rating"
106658441,PAKKA,"PAKKA LIMITED",large/other,RSS_MISS,2026-06-09 12:34,,,,false,"","Allotment of Securities","PAKKA LIMITED has informed the Exchange regarding allotment of 2720000 securities pursuant to Preferential Issue at its meeting held on Jun "
106658437,PERSISTENT,"Persistent Systems Limited",mid,RSS_MISS,2026-06-09 12:30,,,,false,"","Press Release","Persistent Systems Limited has informed the Exchange regarding a press release dated Jun 09, 2026, titled 'Persistent Recognized Among India"
106658421,BHAGERIA,"Bhageria Industries Limited",large/other,RSS_MISS,2026-06-09 12:26,,,,false,"","Spurt in Volume","Significant increase in volume has been observed in Bhageria Industries Limited. The Exchange, in order to ensure that investors have latest"
106658417,TTML,"Tata Teleservices (Maharashtra) Limited",small,RSS_MISS,2026-06-09 12:24,,,,false,"","Action(s) taken or orders passed","Tata Teleservices (Maharashtra) Limited has informed the Exchange about Action(s) taken or orders passed"
106658416,MARICO,"Marico Limited",mid,RSS_MISS,2026-06-09 12:23,,,,false,"","ESOP/ESOS/ESPS","Marico Limited has informed the Exchange regarding Allotment of 54734  Shares."
