pair,type,attention,date,head_abn0,linked_day0,car5,car10,car20
MARUTI→MOTHERSON,supply,high,2015-04-27,0.04123,-0.01521,0.09141,0.08502,0.02456
MARUTI→MOTHERSON,supply,high,2015-10-05,-0.05749,-0.03236,-0.06338,-0.02771,-0.04401
MARUTI→MOTHERSON,supply,high,2015-11-10,0.03492,-0.04967,0.06911,0.07802,0.04973
MARUTI→MOTHERSON,supply,high,2016-01-21,-0.03676,0.01456,-0.03386,-0.05796,0.07313
MARUTI→MOTHERSON,supply,high,2016-02-01,-0.03503,-0.01171,-0.03547,0.04507,0.07686
MARUTI→MOTHERSON,supply,high,2016-02-18,-0.03730,0.00880,0.02624,-0.07648,-0.06220
MARUTI→MOTHERSON,supply,high,2016-02-29,-0.04458,-0.03282,-0.01797,-0.01691,-0.08228
MARUTI→MOTHERSON,supply,high,2016-04-22,0.03150,0.00454,-0.07448,-0.04137,0.00451
MARUTI→MOTHERSON,supply,high,2016-07-28,0.03919,0.01245,0.07675,-0.02060,-0.00371
MARUTI→MOTHERSON,supply,high,2016-11-09,-0.03564,-0.00183,-0.00975,-0.02389,-0.09920
MARUTI→MOTHERSON,supply,high,2016-11-29,0.03785,0.00393,0.02591,0.06437,0.03863
MARUTI→MOTHERSON,supply,high,2017-02-01,0.03023,-0.00380,0.01481,0.02009,0.02866
MARUTI→MOTHERSON,supply,high,2017-04-05,0.04158,0.01476,-0.01290,-0.00031,0.03200
MARUTI→MOTHERSON,supply,high,2017-05-23,0.03195,-0.01941,0.03311,0.05481,0.10191
MARUTI→MOTHERSON,supply,high,2017-12-19,0.04573,0.02805,-0.06499,-0.04710,-0.06660
MARUTI→MOTHERSON,supply,high,2018-01-29,0.03250,-0.00603,0.00062,0.04017,-0.06557
MARUTI→MOTHERSON,supply,high,2018-06-01,0.03554,-0.00708,0.00392,-0.00723,-0.07386
MARUTI→MOTHERSON,supply,high,2018-07-26,-0.04034,-0.02975,0.02177,0.02860,0.04503
MARUTI→MOTHERSON,supply,high,2018-09-27,-0.03002,-0.01252,0.01244,0.03503,0.05370
MARUTI→MOTHERSON,supply,high,2018-10-12,0.03664,0.02117,0.10127,-0.01866,0.04324
MARUTI→MOTHERSON,supply,high,2018-10-31,-0.03049,0.00887,-0.03267,0.14115,0.08136
MARUTI→MOTHERSON,supply,high,2018-11-14,0.03116,-0.07849,-0.01296,-0.01021,0.04398
MARUTI→MOTHERSON,supply,high,2019-01-25,-0.06850,0.01471,0.08900,0.12111,-0.05737
MARUTI→MOTHERSON,supply,high,2019-04-03,0.03250,-0.02510,-0.00709,0.03837,-0.11335
MARUTI→MOTHERSON,supply,high,2019-04-23,-0.03560,0.01479,0.07908,0.12418,0.26987
MARUTI→MOTHERSON,supply,high,2019-07-22,0.03125,0.01635,-0.01781,-0.06477,-0.06343
MARUTI→MOTHERSON,supply,high,2019-08-01,0.03123,-0.00023,-0.04598,-0.04647,-0.04943
MARUTI→MOTHERSON,supply,high,2019-08-13,-0.03009,0.07707,0.00329,0.00639,-0.09040
MARUTI→MOTHERSON,supply,high,2019-09-04,-0.04052,0.00380,-0.07042,-0.10772,-0.00336
