T0,symbol,company_name,t0_bucket,all_buckets,n_tier1_filings,t0_subject,VERIFY_keep,matched_control,pledge_pct_T0minus12m
2025-09-10,HNDFDS,Hindustan Foods Limited,insolvency_nclt,insolvency_nclt,3,"Hindustan Foods Limited has informed the Exchange regarding Notice of the Meeting of the Equity Shareholders of the Company to be held on October 15, 2025 as per the direction of Hon'ble NCLT, Mumbai Bench.",,,
2025-09-15,LUMAXTECH,Lumax Auto Technologies Limited,insolvency_nclt,insolvency_nclt,1,"Lumax Auto Technologies Limited has informed the Exchange regarding Outcome of the NCLT convened meetings of Greenfuel Energy Solutions Private Limited (which is a step-down subsidiary of Lumax Auto Technologies Limited) held on September 15, 2025 as per the directions of the Hon'ble National Company Law Tribunal, Chandigarh Bench ( NCLT )",,,
2025-09-17,DPWIRES,D P Wires Limited,rating_to_D,rating_to_D,1,D P Wires Limited has informed the Exchange about Credit Rating,,,
2025-09-19,RHFL,Reliance Home Finance Limited,insolvency_nclt,insolvency_nclt,32,Reliance Home Finance Limited has informed the Exchange about Public announcement made pursuant to order passed by the Tribunal under Section 13 of Insolvency and Bankruptcy Code against Reliance Home Finance Limited (In CIRP),,,
2025-10-01,RKEC,RKEC Projects Limited,default_disclosure,default_disclosure,2,Delay in payment,,,
2025-10-07,KOLTEPATIL,Kolte - Patil Developers Limited,insolvency_nclt,insolvency_nclt,1,Kolte - Patil Developers Limited has informed the Exchange about Sanction of the Scheme by the Hon ble National Company Law Tribunal ( NCLT ),,,
2025-10-18,CIGNITITEC,Cigniti Technologies Limited,insolvency_nclt,insolvency_nclt,3,"Cigniti Technologies Limited has informed the Exchange about Receipt of order passed by Hon ble National Company Law Tribunal, Chandigarh Bench ( NCLT ) for inter alia dispensation of meeting of secured creditors and convening meeting of the equity shareholders and unsecured creditors of Cigniti TechnologiesLimited.",,,
2025-10-18,COFORGE,Coforge Limited,insolvency_nclt,insolvency_nclt,3,"Coforge Limited has informed the Exchange about Receipt of order passed by Hon ble National Company Law Tribunal, Chandigarh Bench ( NCLT ) for inter alia convening meeting of the equity shareholders, secured creditors and unsecured creditors of Coforge Limited",,,
2025-10-18,TRU,TruCap Finance Limited,default_disclosure,default_disclosure,1,"Intimation in default in repayment of loans/NCDs under SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended.",,,
2025-10-27,FSC,Future Supply Chain Solutions Limited,insolvency_nclt,insolvency_nclt,4,"Members of the Exchange are hereby informed that the trading in equity shares of Future Supply Chain Solutions Limited (ISIN: INE935Q01015) shall be suspended w.e.f. October 28, 2025, pursuant to approval of the resolution plan by the Hon'ble National Company Law Tribunal (NCLT), Mumbai Bench Court III",,,
2025-10-30,SETUINFRA,Setubandhan Infrastructure Limited,insolvency_nclt,insolvency_nclt,8,Setubandhan Infrastructure Limited has informed the Exchange regarding compliance for the Quarter and the Half Year ended on 30 September 2025.,,,
2025-11-04,INDIASHLTR,India Shelter Finance Corporation Limited,insolvency_nclt,insolvency_nclt,2,"India Shelter Finance Corporation Limited has informed the Exchange regarding Outcome of Board Meeting held on November 04, 2025- Voluntary liquidation of Wholly owned subsidiary of the company",,,
2025-11-12,SABEVENTS,Sab Events & Governance Now Media Limited,insolvency_nclt,insolvency_nclt,11,"Sab Events & Governance Now Media Limited has informed the Exchange regarding 'Admission of the Petition filed by SAB Events & Governance Now Media Limitedfor initiation of Pre-Packaged Insolvency Resolution Process under Section 54C of theInsolvency and Bankruptcy Code, 2016 - Copy of Order of Hon ble NCLT dated November04, 2025'.",,,
2025-11-12,GANDHAR,Gandhar Oil Refinery (India) Limited,insolvency_nclt,insolvency_nclt,1,"Gandhar Oil Refinery (India) Limited has informed the Exchange about approval for voluntary liquidation of Gandhar Shipping and Logistics Private Limited, Wholly- owned Subsidiary of the Company.",,,
2025-11-12,NATCOPHARM,Natco Pharma Limited,delisting_unverified,delisting_unverified,1,"Natco Pharma Limited has informed the Exchange regarding a press release dated November 12, 2025, titled ""Adcock Ingram Holdings Limited completes delisting from Johannesburg Stock Exchange and NATCO Pharma Limited acquires 35.75% stake"".",,,
2025-11-14,FLEXITUFF,Flexituff Ventures International Limited,default_disclosure,default_disclosure,2,"Quarterly Disclosures by Flexituff Ventures International Limited with respect to defaults on payment of interest/repayment of principal amount on loans from banks/financial institutions as on 30th September, 2025.",,,
2025-11-14,IVRCLINFRA,IVRCL Limited,insolvency_nclt,insolvency_nclt,1,IVRCL Limited has informed the Exchange regarding 'Change of Liquidator'.,,,
2025-11-15,DCW,DCW Limited,insolvency_nclt,insolvency_nclt,4,"DCW Limited has informed the Exchange about copy of Srutinizers report of NCLT Convened Meeting of Unsecured Creditors held on November 15, 2025",,,
2025-11-18,MANGALAM,Mangalam Drugs And Organics Limited,default_disclosure,default_disclosure,9,Mangalam Drugs And Organics Limited has informed the Exchange about Fraud/Default/Arrest,,,
2025-11-19,FEDDERELEC,Fedders Electric and Engineering Limited,delisting_unverified,insolvency_nclt|delisting_unverified,2,"Intimation regarding Exit Price of Delisting in accordance with applicable regulation of SEBI (Delisting of Securities) Regulations, 2021",,,
2025-11-20,MANAKSIA,Manaksia Limited,insolvency_nclt,insolvency_nclt,3,"Manaksia Limited has informed the Exchange about order of NCLT for convening meeting of equity shareholders on 10th January, 2026",,,
2025-11-28,BILVYAPAR,BIL VYAPAR LIMITED,insolvency_nclt,insolvency_nclt,15,"BIL VYAPAR LIMITED has informed the Exchange about  Form-A under Insolvency Resolution Process for Corporate Persons) Regulations, 2016",,,
2025-11-28,UNIVPHOTO,Universus Photo Imagings Limited,insolvency_nclt,insolvency_nclt,1,"Universus Photo Imagings Limited has informed the Exchange about General Updates -Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015   Appeal filed before the Hon ble NCLAT in the matter of order passed by the Hon ble National Company Law Tribunal, Allahabad ( NCLT ) dated 15.10.2025",,,
2025-12-01,SUBEXLTD,Subex Limited,insolvency_nclt,insolvency_nclt,1,"Voluntary Liquidation of Subex Account Aggregator Services Pvt Ltd, Wholly Owned Subsidiary - NCLT order",,,
2025-12-01,AIFL,Ashapura Intimates Fashion Limited,insolvency_nclt,insolvency_nclt,1,Ashapura Intimates Fashion Limited has informed the Exchange about receipt of Relief Order passed by the National Company Law Tribunal (NCLT) Mumbai Bench,,,
