first_cirp_filing,symbol,company_name,isin,cirp_filing_count,first_filing_overall,first_cirp_subject,VERIFY_own_admission,matched_control,pledge_pct_T0minus12m
2024-05-31,FLFL,Future Lifestyle Fashions Limited,INE452O01016,28,2024-05-31,"Future Lifestyle Fashions Limited has informed the Exchange about Corporate Insolvency Resolution Process- Fourteenth meeting of Committee of Creditors (CoC) of Future Lifestyle Fashions Limited (under CIRP) was held on Monday, 06"" May 2024.",,,
2024-05-31,RCOM,Reliance Communications Limited,INE330H01018,27,2024-05-31,"Reliance Communications Limited has informed the Exchange about Notice of meeting of Committee of Creditors (CoC) scheduled to be held on Monday, June 03, 2024",,,
2024-05-31,SUMEETINDS,Sumeet Industries Limited,INE235C01010,6,2024-05-31,Sumeet Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process for announcement of order by Hon'ble NCLAT Bench,,,
2024-06-01,VCL,Vaxtex Cotfab Limited,INE098201010,26,2024-05-31,"Intimation under Regulations 30 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 regarding restoration application filed by Vaxtex Cotfab Limited before National Company Law Appellate Tribunal and order received on 31/05/2024",,,
2024-06-01,MANPASAND,Manpasand Beverages Limited,INE122R01018,5,2024-06-01,Manpasand Beverages Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-02,ROLTA,Rolta India Limited,INE293A01013,29,2024-06-02,Rolta India Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-03,ANSALAPI,Ansal Properties & Infrastructure Limited,INE436A01026,137,2024-06-03,"Ansal Properties & Infrastructure Limited has informed the Exchange about the outcome of the 26th Meeting of Committee of Creditors for 'Fernhill project' of the Company situated at District Gurgaon, Haryana held on 28th May, 2024",,,
2024-06-03,COMPINFO,Compuage Infocom Limited,INE070C01029,47,2024-06-03,Compuage Infocom Limited has informed the Exchange about Corporate Insolvency Resolution Process- it is hereby informed that the undersigned is in receipt of resolution plans/bids from 5 prospective resolution applicants in response to the Request for Resolution Plans dated 28.02.2024,,,
2024-06-03,JPASSOCIAT,Jaiprakash Associates Limited,INE455F01025,95,2024-06-03,Jaiprakash Associates Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-04,HDIL,Housing Development and Infrastructure Limited,INE191I01012,7,2024-06-04,"Housing Development and Infrastructure Limited has informed the Exchange about the Resolution Plan received for one project viz. Tagore Park, Malad, Mumbai",,,
2024-06-04,ARSSINFRA,ARSS Infrastructure Projects Limited,INE267I01010,53,2024-06-03,ARSS Infrastructure Projects Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-04,GAYAPROJ,Gayatri Projects Limited,INE336H01015,3,2024-06-04,Gayatri Projects Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-04,INDLMETER,IMP Powers Limited,INE065B01013,4,2024-06-04,IMP Powers Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-04,CANDC,C & C Constructions Limited,INE874H01015,8,2024-06-04,C & C Constructions Limited has informed the Exchange about Summary of 13th round of e-auction.,,,
2024-06-05,JPINFRATEC,Jaypee Infratech Limited,INE099J01015,1,2024-06-05,"Jaypee Infratech Limited has informed the Exchange about Disclosure under CIRP pursuant to Regulation 30 read with Schedule III, Part A, Para A, Clause 16 and other applicable Regulations of SEBI (LODR) Regulations, 2015  -Outcome of IMC Meeting dated 04.06.2024   NCLAT Order dated 24.05.2024  uphelding the Resolution Plan as approved by NCLT order dated 07.03.2023",,,
2024-06-06,ANKITMETAL,Ankit Metal & Power Limited,INE106I01010,23,2024-06-06,Ankit Metal & Power Limited has informed the Exchange about Corporate Insolvency Resolution Process- Outcome of the Meeting of the Committee of Creditors,,,
2024-06-07,CMICABLES,CMI Limited,INE981B01011,33,2024-06-07,CMI Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-07,RELCAPITAL,Reliance Capital Limited,INE013A01015,11,2024-06-07,"This is in continuation to our earlier disclosure dated February 28, 2024, pertaining to the approval of the resolution plan submitted by IndusInd International Holdings Ltd. ( IIHL  or the  Successful Resolution Applicant ) in the corporate insolvency resolution process of Reliance Capital Limited ( RCL ) by the Hon ble National Company Law Tribunal, Mumbai (""NCLT ) on February 27, 2024 ( Approved Resolution Plan ). Further to our disclosure dated May 27, 2024, pertaining to the IA 2561/2024 in C.P.(IB)/1231(MB)2021 filed by the Successful Resolution Applicant under Section 60(5) of the Insolvency and Bankruptcy Code, 2016, read with Rule 11 of the National Company Law Tribunal Rules, 2016 for seeking an extension of 90 days from May 27, 2024 for the implementation of the Approved Resolution Plan, we hereby inform you that the matter was heard on June 6, 2024 by the Hon ble NCLT. We are awaiting a copy of the order and shall keep the Stock Exchanges updated on the matter.",,,
2024-06-08,IMPEXFERRO,Impex Ferro Tech Limited,INE691G01015,49,2024-06-08,Impex Ferro Tech Limited has informed the Exchange about Voting results of Resolutions put to vote through e-voting in respect of 1st meeting of CoC,,,
2024-06-10,PUNJLLOYD,Punj Lloyd Limited,INE701B01021,54,2024-06-10,"Punj Lloyd Limited has informed the Exchange about Corporate Insolvency Resolution Process : This is to inform you that in terms of Regulation 32 B of the Insolvency and Bankruptcy Board of India (Liquidation Process) Regulations, 2016, the Fourteenth meeting of the Stakeholders Consultation Committee of Punj Lloyd Ltd. is scheduled to be held on Tuesday, June 11, 2024 at 2.30 P.M. at Punj Lloyd Limited, Corporate office, Plate No. 2, Second Floor, Tower No. 2, NBCC Plaza, Sector V, Pushp Vihar, Saket, New Delhi - 110017 as well as through Audio Visual mode.",,,
2024-06-11,RPOWER,Reliance Power Limited,INE614G01033,4,2024-05-31,Reliance Power Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-12,UNIPLY,Uniply Industries Limited,INE950G01015,20,2024-06-12,Uniply Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-12,FRETAIL,Future Retail Limited,INE752P01024,8,2024-06-12,Future Retail Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-14,FEL,Future Enterprises Limited,INE623B01027,14,2024-06-14,Future Enterprises Limited has informed the Exchange about Corporate Insolvency Resolution Process Intimation Regarding COC meeting,,,
2024-06-14,FELDVR,Future Enterprises Limited,IN9623B01058,13,2024-06-14,Future Enterprises Limited has informed the Exchange about Corporate Insolvency Resolution Process Intimation of 23rd Meeting of CoC,,,
2024-06-17,SIMBHALS,Simbhaoli Sugars Limited,INE748T01016,7,2024-06-01,Simbhaoli Sugars Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-18,PDPL,Parenteral Drugs (India) Limited,INE904D01019,8,2024-06-01,Parenteral Drugs (India) Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-20,MORARJEE,Morarjee Textiles Limited,INE161G01027,27,2024-06-13,Morarjee Textiles Limited has informed the Exchange about Corporate Insolvency Resolution Process Meeting of Committee of Creditors,,,
2024-06-20,HINDNATGLS,Hindusthan National Glass & Industries Limited,INE952A01022,18,2024-06-20,Hindusthan National Glass & Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process- Intimation of 30th CoC Meeting scheduled to be held on Monday 24th June 2024 at 11.30 A.M.,,,
2024-06-20,KECL,Kirloskar Electric Company Limited,INE134B01017,5,2024-06-13,"This is to inform that the Chartered Capital and Investment Limited ( CCIL ) has appealed against the order of NCLT, Bengaluru dated 20th May 2024 (in case no. C.P. (IB) No.85/BB/2024) before the National Company Law Appellate Tribunal, Chennai.The above email intimation from NCLAT was sent on June 18, 2024 at 09:34 PM after closure of office hours and the same came to the knowledge of the Company on June 19, 2024 after the Company's office was reopened.",,,
2024-06-24,SHIRPUR-G,Shirpur Gold Refinery Limited,INE196B01016,57,2024-06-13,Shirpur Gold Refinery Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-06-24,SITINET,Siti Networks Limited,INE965H01011,4,2024-05-31,"Siti Networks Limited has informed the Exchange that pursuant to Regulation 30 read with Schedule III of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform you that the eleventh meeting of the Committee of Creditors of Siti Networks Limited was held on 20th June 2024, in terms of Section 24 of the Insolvency and Bankruptcy Code, 2016 read with Regulation 18 of the Insolvency and Bankruptcy Board of India (Insolvency Regulation Process for Corporate Persons) Regulations, 2016. During the meeting, the Resolution Professional discussed CIRP related updates in respect of inter alia, CIRP timelines, claims, legal and resolution process update. Following discussions, the CoC decided to extend the timeline of the Corporate Insolvency Resolution Process (CIRP) and scheduled it for voting.",,,
2024-07-01,VALECHAENG,Valecha Engineering Limited,INE624C01015,2,2024-06-03,"APPROVAL OF RESOLUTION PLAN OF VALECHA ENGINEERING LIMITED (UNDER INSOLVENCY RESOLUTION PROCESS) VIDE ORDER NO I.A. NO. 5819 OF 2023 IN C.P. (IB NO. 594/MB/2021, IN NCLT, MUMBAI, BENCH-IV DATED 25.06.2024)",,,
2024-07-03,RUSHABEAR,Rushabh Precision Bearings Limited,INE574301011,1,2024-06-18,Rushabh Precision Bearings Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-07-10,NEUEON,Neueon Corporation Limited,INE333I01044,2,2024-07-09,Neueon Towers Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-07-10,CONCOR,Container Corporation of India Limited,INE111A01017,1,2024-06-04,Container Corporation Of India Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-07-11,SRPL,Shree Ram Proteins Limited,INE008Z01012,2,2024-06-28,"Shree Ram Proteins Limited has informed the Exchange about Corporate Insolvency Resolution Process that Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform that the Company has received a order for the joint application filed under Rule 11 of the National Company Law Tribunal Rules, 2016 for placing additional documents on record. In the said order the learned counsel had ordered to set aside the impugned order dated 11.01.2023 and CIRP proceedings are set aside. Pending applications, if any, are closed.",,,
2024-07-15,GVKPIL,GVK Power & Infrastructure Limited,INE251H01024,26,2024-06-14,GVK Power & Infrastructure Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-07-15,SADBHAV,Sadbhav Engineering Limited,INE226H01018,1,2024-06-01,Sadbhav Engineering Limited has informed the Exchange about setting aside the order dated 12-07-2024 passed for initiation of Corporate Insolvency Resolution Process,,,
2024-07-16,VISACHROME,VISA Chrome Limited,INE286H01012,3,2024-07-01,Visa Steel Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-07-21,ARSHIYA,Arshiya Limited,INE968D01022,28,2024-06-06,Arshiya Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-08-06,SUULD,Suumaya Industries Limited,INE591Q01016,7,2024-06-03,Suumaya Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-08-08,JBFIND,JBF Industries Limited,INE187A01017,6,2024-07-05,JBF Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process for Extension of timeline in the CIRP of the Corporate Debtors,,,
2024-08-08,BRFL,Bombay Rayon Fashions Limited,INE589G01011,2,2024-08-08,Bombay Rayon Fashions Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-08-31,HITECHGEAR,The Hi-Tech Gears Limited,INE127B01011,12,2024-06-01,The Hi-Tech Gears Limited has informed the Exchange about Corporate Insolvency Resolution Process - Commencement,,,
2024-09-23,ABAN,Aban Offshore Limited,INE421A01028,12,2024-06-27,Aban Offshore Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-10-10,VALUEIND,Value Industries Limited,INE352A01017,23,2024-06-20,"Pre facto intimation of the upcoming 42nd (Forty Second) Meeting of Consolidated Committee of Creditors scheduled to be held on Wednesday, October 16, 2024",,,
2024-10-10,VIDEOIND,Videocon Industries Limited,INE703A01011,22,2024-06-20,"Videocon Industries Limited has informed the Exchange about pre facto intimation of the upcoming 42nd meeting of Consolidated Committee of Creditors scheduled to be held on Wednesday, October 16, 2024",,,
2024-10-16,ALPSINDUS,Alps Industries Limited,INE093B01015,26,2024-06-28,"Alps Industries Limited has informed the Exchange about first committee of creditors (COC) Meeting to be held on Wednesday, 16 October, 2024.",,,
2024-10-19,OMKARCHEM,Omkar Speciality Chemicals Limited,INE474L01016,4,2024-10-19,"Post-facto intimation of 11th CoC meeting conducted on 18th September, 2024.",,,
2024-10-25,MEP,MEP Infrastructure Developers Limited,INE776I01010,16,2024-06-05,MEP Infrastructure Developers Limited has informed the Exchange about Corporate Insolvency Resolution Process - 6th COC Meeting,,,
2024-10-29,BGRENERGY,BGR Energy Systems Limited,INE661I01014,10,2024-05-31,"BGR Energy Systems Limited has informed the Exchange that Canara Bank Limited ( Financial Creditor ) has submitted a petition to the Hon ble National Company Law Tribunal (NCLT), Amaravati Bench, seeking the initiation of the Corporate Insolvency Resolution Process (CIRP). The said application was registered by the Hon ble Tribunal on 24th October 2024",,,
2024-11-28,GANGOTRI,Gangotri Textiles Limited,INE670B01028,1,2024-06-14,Gangotri Textiles Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-12-05,LASA,Lasa Supergenerics Limited,INE670X01014,1,2024-06-26,Lasa Supergenerics Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2024-12-13,BLUEBLENDS,Blue Blends (I) Limited,INE034101019,1,2024-12-13,Blue Blends (I) Limited has informed the Exchange about Corporate Insolvency Resolution Process the resolution plan has been approved by the Hon`ble NCLT Mumbai Bench,,,
2025-01-07,TECHIN,Techindia Nirman Limited,INE778A01021,20,2024-06-14,Techindia Nirman Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-01-17,MADHUCON,Madhucon Projects Limited,INE378D01032,3,2024-06-27,Madhucon Projects Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-02-05,ABHISHEK,Abhishek Corporation Limited,INE004I01017,1,2024-06-15,Abhishek Corporation Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-03-21,NIBL,NRB Industrial Bearings Limited,INE047O01014,1,2024-06-26,"Intimation Under Regulation 30 Of SEBI (Listing Obligations AndDisclosures Requirements) Regulation, 2015   Updates",,,
2025-04-08,PAEL,PAE Limited,INE766A01018,1,2025-04-08,PAE Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-04-23,SPTL,Sintex Plastics Technology Limited,INE501W01021,1,2024-06-13,"Intimation of Order passed by the NCLT in relation to acquisition of Sintex Plastic Technology Limited as going concern basis in Liquidation process under IBC, 2016.",,,
2025-04-28,EUROMULTI,Euro Multivision Limited,INE063J01011,1,2025-04-28,Euro Multivision Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-06-11,SIGIND,Signet Industries Limited,INE529F01035,1,2024-06-01,Signet Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-06-18,GENSOL,Gensol Engineering Limited,INE06H201014,1,2024-05-31,Gensol Engineering Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-06-20,PREMIER,Premier Limited,INE342A01018,4,2024-06-29,Premier Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-06-24,XLENERGY,XL Energy Limited,INE183H01011,2,2025-05-27,XL Energy Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-09-01,AGSTRA,AGS Transact Technologies Limited,INE583L01014,25,2024-05-31,AGS Transact Technologies Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-09-11,MARSHALL,Marshall Machines Limited,INE00SZ01018,9,2024-06-10,Marshall Machines Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-09-19,RHFL,Reliance Home Finance Limited,INE217K07AB6,32,2024-05-31,Reliance Home Finance Limited has informed the Exchange about Public announcement made pursuant to order passed by the Tribunal under Section 13 of Insolvency and Bankruptcy Code against Reliance Home Finance Limited (In CIRP),,,
2025-10-17,SKIL,SKIL Infrastructure Limited,INE429F01012,23,2024-06-04,SKIL Infrastructure Limited has informed the Exchange about National Company Law Appellate Tribunal Order under Corporate Insolvency Resolution Process.,,,
2025-10-27,FSC,Future Supply Chain Solutions Limited,INE935Q01015,2,2024-09-06,Future Supply Chain Solutions Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-10-30,SETUINFRA,Setubandhan Infrastructure Limited,INE023M01027,7,2024-06-28,Setubandhan Infrastructure Limited has informed the Exchange regarding compliance for the Quarter and the Half Year ended on 30 September 2025.,,,
2025-11-28,BILVYAPAR,BIL VYAPAR LIMITED,INE071A01013,15,2024-06-24,"BIL VYAPAR LIMITED has informed the Exchange about  Form-A under Insolvency Resolution Process for Corporate Persons) Regulations, 2016",,,
2025-12-02,SABEVENTS,Sab Events & Governance Now Media Limited,INE860T01019,10,2024-06-26,"Post -Facto Intimation of 1st Meeting of the Committee of Creditors of Sab Events & Govenance Now Media Limited in its ongoing Pre-packaged Insolvency Resolution Process (""PPIRP"")",,,
2025-12-10,GOENKA,Goenka Diamond and Jewels Limited,INE516K01016,2,2024-06-29,Goenka Diamond and Jewels Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-12-11,EMBDL,Embassy Developments Limited,INE069I01010,17,2024-05-31,Please refer attachment for copy of order passed by Hon'ble NCLAT granting stay on impugned order of Hon'ble NCLT.,,,
2025-12-19,DHARAN,DHARAN INFRA-EPC LIMITED,INE278R01034,4,2024-06-04,DHARAN INFRA-EPC LIMITED has informed the Exchange about Corporate Insolvency Resolution Process,,,
2025-12-23,SANCO,Sanco Industries Limited,INE782L01012,1,2024-06-28,Sanco Industries Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2026-02-13,VIVIMEDLAB,Vivimed Labs Limited,INE526G01013,4,2024-06-15,Vivimed Labs Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2026-02-27,JPPOWER,Jaiprakash Power Ventures Limited,INE351F01018,1,2024-06-03,"Jaiprakash Power Ventures Limited has informed the Exchange about filing of application under Section 7 of IBC, 2016 for the initiation of CIRP before NCLT Allahabad bench. The matter is yet to come up before the Hon'ble NCLT.",,,
2026-03-16,EDUCOMP,Educomp Solutions Limited,INE216H01027,6,2024-07-18,NCLT has directed issuance of fresh Form-G and CIRP Process be completed within 100 days.,,,
2026-03-16,TALWALKARS,Talwalkars Better Value Fitness Limited,INE502K01016,1,2024-07-16,Talwalkars Better Value Fitness Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2026-04-17,WINSOME,Winsome Yarns Limited,INE784B01035,3,2024-06-18,Winsome Yarns Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2026-05-04,OSIAHYPER,Osia Hyper Retail Limited,INE06IR01013,8,2024-05-31,"Osia Hyper Retail Limited has informed the Exchange about the initiation of Corporate Insolvency Resolution Process (CIRP) of the Company and appointment of the Interim Resolution Professional by the Hon ble NCLT, Ahmedabad Bench, Court-II under the Insolvency and Bankruptcy Code, 2016.",,,
2026-05-12,PARSVNATH,Parsvnath Developers Limited,INE561H01018,6,2024-06-13,Parsvnath Developers Limited has informed the Exchange about Corporate Insolvency Resolution Process and appointment of IRP.,,,
2026-05-15,ASTRON,Astron Paper & Board Mill Limited,INE646X01014,1,2024-06-29,"Astron Paper & Board Mill Limited has informed the Exchange about Corporate Insolvency Resolution Process under Section 9(5) of the Insolvency and Bankruptcy Code, 2016",,,
2026-05-16,DPSCLTD,DPSC Limited,INE360C01016,22,2024-06-11,DPSC Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2026-06-19,VIKRAMSOLR,Vikram Solar Limited,INE078V01014,5,2025-08-26,Vikram Solar Limited has informed the Exchange about Corporate Insolvency Resolution Process,,,
2026-06-20,AKSHOPTFBR,Aksh Optifibre Limited,INE523B01011,3,2024-06-26,Aksh Optifibre Limited has informed the Exchange about Corporate Insolvency Resolution Process - Oral Prouncement of Order,,,
