admission_date,name,cin,status,isin,our_symbol,our_filings,our_first,our_last,arm,reason,matched_control,pledge_pct_T0minus12m,VERIFY_keep
2018-02-23,IVRCL Limited,L45201TG1987PLC007959,Liquidation,INE875A01025,IVRCLINFRA,28,2024-06-21,2026-03-11,PARTIAL (thin lookback),kept,,,
2018-05-08,Era Infra Engineering Limited,L74899DL1990PLC041350,Resolution_Approved,INE039E01020,ERAINFRA,1,2025-12-03,2025-12-03,PARTIAL (thin lookback),kept,,,
2019-05-07,Reliance Communications Limited,L45309MH2004PLC147531,CIRP_Ongoing,INE330H01018,RCOM,141,2024-05-31,2026-06-24,PARTIAL (thin lookback),kept,,,
2019-06-20,Jet Airways (India) Limited,L99999MH1992PLC066213,Liquidation,INE802G01018,JETAIRWAYS,19,2024-07-09,2026-04-09,PARTIAL (thin lookback),kept,,,
2019-10-22,Cox and Kings Limited,L63040MH1939PLC011352,Liquidation,INE008I01026,,0,,,NO_FILINGS (illustrative/archival),kept,,,
2019-12-02,Bartronics India Limited,L29309TG1990PLC011721,Resolution_Approved,INE855F01042,ASMS,156,2024-05-31,2026-06-12,PARTIAL (thin lookback),kept,,,
2019-12-03,Dewan Housing Finance Corporation Limited,L65910MH1984PLC032639,Resolution_Approved,INE202B01012,,0,,,NO_FILINGS (illustrative/archival),kept,,,
2021-04-06,Sintex Industries Limited,L17110GJ1931PLC000454,Resolution_Approved,INE429C01035,,0,,,NO_FILINGS (illustrative/archival),kept,,,
2021-10-08,Srei Infrastructure Finance Limited,L29219WB1985PLC055352,Resolution_Approved,INE872A01014,,0,,,NO_FILINGS (illustrative/archival),kept,,,
2021-12-06,Reliance Capital Limited,L65910MH1986PLC165645,CIRP_Ongoing,INE013A01015,RELCAPITAL,26,2024-06-07,2025-02-12,PARTIAL (thin lookback),kept,,,
2022-07-20,Future Retail Limited,L52399MH2007PLC175688,Liquidation,INE752P01024,FRETAIL,11,2024-06-12,2025-07-30,PARTIAL (thin lookback),kept,,,
2024-02-01,SKIL Infrastructure Limited,L36911MH1983PLC178299,CIRP_Ongoing,INE429F01012,SKIL,46,2024-06-04,2026-06-02,PARTIAL (thin lookback),kept,,,
2024-02-09,Morarjee Textiles Limited,L52322MH1995PLC090643,Resolution_Approved,INE161G01027,MORARJEE,52,2024-06-13,2026-06-18,PARTIAL (thin lookback),kept,,,
2025-09-16,Reliance Home Finance Limited,L67190MH2008PLC183216,CIRP_Ongoing,INE217K01011,RHFL,86,2024-05-31,2026-06-24,PRIMARY (hand-traceable),kept,,,
2026-01-12,Manpasand Beverages Limited,L15549GJ2010PLC063283,CIRP_Ongoing,INE122R01018,MANPASAND,51,2024-06-01,2025-08-04,PRIMARY (hand-traceable),kept,,,
2026-04-17,BGR Energy Systems Limited,L40106AP1985PLC005318,CIRP_Ongoing,INE661I01014,BGRENERGY,161,2024-05-31,2026-06-26,PRIMARY (hand-traceable),kept,,,
2026-06-19,Aksh Optifibre Limited,L24305RJ1986PLC016132,CIRP_Ongoing,INE523B01011,AKSHOPTFBR,86,2024-06-26,2026-06-22,PRIMARY (hand-traceable),kept,,,
2026-06-23,Supreme Engineering Limited,L99999MH1987PLC043205,CIRP_Ongoing,INE319Z01013,SUPREMEENG,82,2024-06-03,2026-06-25,PRIMARY (hand-traceable),kept,,,
